"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MSUMI","EQ","30-Jun-2023","56.60","56.90","58.00","56.60","57.70","57.70","57.29","1,40,41,353","80,44,34,331.10","39,444","1,13,96,777","81.17"
"MSUMI","EQ","03-Jul-2023","57.70","58.20","58.35","57.35","57.85","57.85","57.76","24,37,299","14,07,72,430.10","23,260","13,81,261","56.67"
"MSUMI","EQ","04-Jul-2023","57.85","57.60","58.75","57.35","58.10","58.15","58.30","68,84,130","40,13,63,394.90","33,513","46,64,703","67.76"
"MSUMI","EQ","05-Jul-2023","58.15","58.50","59.30","58.00","58.25","58.40","58.61","70,18,048","41,13,30,227.80","56,418","43,19,920","61.55"
"MSUMI","EQ","06-Jul-2023","58.40","58.65","58.90","57.90","58.05","58.15","58.28","55,48,900","32,33,69,079.30","36,717","41,45,864","74.72"
"MSUMI","EQ","07-Jul-2023","58.15","57.70","58.75","57.60","58.40","58.35","58.33","37,60,820","21,93,56,320.15","21,134","24,61,496","65.45"
"MSUMI","EQ","10-Jul-2023","58.35","58.95","59.00","57.70","57.95","57.85","58.10","22,15,701","12,87,39,524.20","15,673","11,11,082","50.15"
"MSUMI","EQ","11-Jul-2023","57.85","58.15","58.90","57.95","58.45","58.55","58.64","34,19,854","20,05,46,837.05","24,209","19,60,091","57.32"
"MSUMI","EQ","12-Jul-2023","58.55","58.55","58.85","58.00","58.20","58.15","58.29","29,07,204","16,94,54,833.50","26,280","16,67,490","57.36"
"MSUMI","EQ","13-Jul-2023","58.15","58.55","59.20","57.70","58.00","57.80","58.52","1,12,89,146","66,06,04,351.15","32,147","85,96,199","76.15"
"MSUMI","EQ","14-Jul-2023","57.80","58.25","58.80","57.80","58.15","58.05","58.08","40,06,674","23,27,15,011.10","15,239","27,26,360","68.05"
"MSUMI","EQ","17-Jul-2023","58.05","58.40","59.45","58.25","58.60","58.65","58.92","1,62,88,304","95,96,38,040.30","26,673","1,34,90,654","82.82"
"MSUMI","EQ","18-Jul-2023","58.65","59.00","59.10","58.15","58.70","58.55","58.48","77,27,822","45,19,30,627.15","13,304","63,36,225","81.99"
"MSUMI","EQ","19-Jul-2023","58.55","58.75","58.75","58.20","58.30","58.35","58.42","19,05,173","11,13,05,915.15","18,303","9,42,486","49.47"
