"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"POWERINDIA","EQ","30-Jun-2023","4,117.75","4,138.55","4,185.00","4,083.70","4,142.00","4,157.85","4,131.77","16,102","6,65,29,723.35","4,702","6,623","41.13"
"POWERINDIA","EQ","03-Jul-2023","4,157.85","4,179.70","4,189.00","4,125.00","4,127.25","4,138.05","4,154.29","9,696","4,02,80,040.55","3,483","3,844","39.65"
"POWERINDIA","EQ","04-Jul-2023","4,138.05","4,158.70","4,172.40","4,100.00","4,105.50","4,108.00","4,135.56","7,010","2,89,90,300.85","2,584","3,193","45.55"
"POWERINDIA","EQ","05-Jul-2023","4,108.00","4,128.50","4,288.00","4,105.05","4,210.00","4,218.75","4,233.48","36,550","15,47,33,737.35","7,444","13,817","37.80"
"POWERINDIA","EQ","06-Jul-2023","4,218.75","4,200.00","4,345.00","4,200.00","4,307.20","4,320.65","4,308.03","30,776","13,25,83,791.50","6,839","10,475","34.04"
"POWERINDIA","EQ","07-Jul-2023","4,320.65","4,320.65","4,347.85","4,231.50","4,241.65","4,261.85","4,281.75","35,613","15,24,86,059.95","5,508","23,279","65.37"
"POWERINDIA","EQ","10-Jul-2023","4,261.85","4,285.00","4,365.00","4,199.80","4,211.00","4,226.80","4,284.62","18,861","8,08,12,305.85","4,226","9,849","52.22"
"POWERINDIA","EQ","11-Jul-2023","4,226.80","4,244.00","4,300.00","4,161.50","4,185.00","4,189.35","4,218.41","22,038","9,29,65,243.40","6,639","9,802","44.48"
"POWERINDIA","EQ","12-Jul-2023","4,189.35","4,210.25","4,288.10","4,193.05","4,199.95","4,220.25","4,237.51","15,325","6,49,39,909.15","3,696","6,718","43.84"
"POWERINDIA","EQ","13-Jul-2023","4,220.25","4,220.25","4,249.65","4,125.15","4,160.00","4,152.45","4,195.68","15,080","6,32,70,833.10","4,144","7,559","50.13"
"POWERINDIA","EQ","14-Jul-2023","4,152.45","4,170.00","4,275.05","4,159.75","4,225.05","4,228.50","4,222.35","17,612","7,43,63,940.50","4,365","7,449","42.30"
"POWERINDIA","EQ","17-Jul-2023","4,228.50","4,180.80","4,277.45","4,180.80","4,261.15","4,242.70","4,238.90","21,604","9,15,77,279.50","4,950","11,393","52.74"
"POWERINDIA","EQ","18-Jul-2023","4,242.70","4,265.00","4,335.00","4,215.30","4,237.00","4,235.65","4,279.37","18,750","8,02,38,205.40","4,635","8,472","45.18"
"POWERINDIA","EQ","19-Jul-2023","4,235.65","4,289.95","4,311.00","4,191.50","4,196.00","4,206.55","4,238.26","18,207","7,71,65,982.00","4,301","8,612","47.30"
"POWERINDIA","EQ","20-Jul-2023","4,206.55","4,227.50","4,241.45","4,146.05","4,180.00","4,168.25","4,177.34","15,080","6,29,94,279.30","4,479","6,659","44.16"
"POWERINDIA","EQ","21-Jul-2023","4,168.25","4,186.00","4,239.95","4,151.25","4,207.30","4,202.45","4,189.39","9,074","3,80,14,519.70","3,141","3,274","36.08"
"POWERINDIA","EQ","24-Jul-2023","4,202.45","4,220.00","4,228.95","4,101.50","4,118.75","4,121.70","4,193.42","31,899","13,37,65,915.05","4,283","23,287","73.00"
"POWERINDIA","EQ","25-Jul-2023","4,121.70","4,141.00","4,274.00","4,042.85","4,195.00","4,144.45","4,137.30","32,311","13,36,80,377.90","6,174","14,543","45.01"
"POWERINDIA","EQ","26-Jul-2023","4,144.45","4,093.70","4,155.05","4,051.00","4,054.00","4,067.50","4,081.81","46,865","19,12,93,875.75","9,306","31,626","67.48"
