"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RBLBANK","EQ","30-Jun-2023","176.00","175.60","182.80","175.60","181.40","181.95","180.50","1,44,39,336","2,60,63,19,536.55","55,299","38,58,746","26.72"
"RBLBANK","EQ","03-Jul-2023","181.95","182.70","187.00","182.60","183.85","184.20","184.77","1,59,96,543","2,95,57,23,332.50","51,058","57,03,146","35.65"
"RBLBANK","EQ","04-Jul-2023","184.20","185.00","185.15","180.80","183.00","182.50","183.12","1,06,13,929","1,94,36,10,218.55","40,469","38,99,113","36.74"
"RBLBANK","EQ","05-Jul-2023","182.50","183.45","194.20","183.20","190.55","190.65","190.65","3,35,26,194","6,39,16,16,566.10","1,15,123","86,35,241","25.76"
"RBLBANK","EQ","06-Jul-2023","190.65","190.40","190.50","185.45","186.55","187.00","187.84","1,10,38,150","2,07,33,88,824.45","39,586","31,19,289","28.26"
"RBLBANK","EQ","07-Jul-2023","187.00","187.00","190.80","182.80","184.60","184.70","186.14","1,11,19,782","2,06,98,84,216.70","49,044","21,74,135","19.55"
"RBLBANK","EQ","10-Jul-2023","184.70","185.50","187.20","183.40","185.70","185.30","185.34","68,25,987","1,26,50,95,075.10","27,199","15,63,886","22.91"
"RBLBANK","EQ","11-Jul-2023","185.30","186.00","195.30","185.75","193.25","193.90","192.44","2,30,95,189","4,44,44,04,625.30","75,208","67,41,082","29.19"
"RBLBANK","EQ","12-Jul-2023","193.90","192.00","199.80","191.85","196.00","197.20","197.12","2,06,51,874","4,07,09,83,881.80","64,915","56,45,602","27.34"
"RBLBANK","EQ","13-Jul-2023","197.20","196.50","204.40","196.50","198.20","197.85","200.69","2,63,20,020","5,28,21,05,987.35","92,904","57,73,685","21.94"
"RBLBANK","EQ","14-Jul-2023","197.85","198.90","213.45","197.85","213.30","211.60","206.99","3,53,93,674","7,32,61,09,164.35","1,33,175","63,67,970","17.99"
"RBLBANK","EQ","17-Jul-2023","211.60","215.00","230.50","211.00","225.50","226.65","221.61","4,71,23,976","10,44,31,00,651.70","1,73,413","1,19,65,498","25.39"
"RBLBANK","EQ","18-Jul-2023","226.65","225.50","226.60","218.05","219.60","219.05","221.34","2,18,32,270","4,83,23,19,001.70","93,872","62,12,138","28.45"
"RBLBANK","EQ","19-Jul-2023","219.05","218.75","222.95","212.50","213.65","213.10","218.08","1,47,32,244","3,21,28,65,718.60","58,508","47,11,343","31.98"
"RBLBANK","EQ","20-Jul-2023","213.10","214.20","221.50","213.10","219.40","219.65","217.79","1,58,96,458","3,46,20,70,019.95","58,255","39,85,479","25.07"
"RBLBANK","EQ","21-Jul-2023","219.65","220.00","223.90","216.00","221.70","221.60","220.70","1,45,43,408","3,20,97,16,752.10","53,903","37,88,055","26.05"
"RBLBANK","EQ","24-Jul-2023","221.60","223.95","227.20","214.10","221.15","222.00","220.92","3,76,90,744","8,32,65,00,396.05","1,55,820","94,05,662","24.95"
"RBLBANK","EQ","25-Jul-2023","222.00","222.40","225.55","217.50","225.40","223.30","221.51","1,31,14,045","2,90,49,48,236.55","57,760","43,47,400","33.15"
"RBLBANK","EQ","26-Jul-2023","223.30","225.25","242.20","225.10","239.40","239.20","232.59","4,55,07,182","10,58,42,89,552.35","1,56,766","1,06,12,218","23.32"
"RBLBANK","EQ","27-Jul-2023","239.20","240.00","251.40","230.55","233.90","232.60","239.67","6,25,38,984","14,98,86,91,078.25","2,53,523","1,50,56,793","24.08"
"RBLBANK","EQ","28-Jul-2023","232.60","234.05","244.70","232.20","234.00","234.10","238.11","3,41,41,260","8,12,93,52,968.60","1,50,169","70,31,589","20.60"
"RBLBANK","EQ","31-Jul-2023","234.10","235.90","238.80","227.00","227.75","227.85","231.59","1,86,88,347","4,32,80,45,911.65","95,719","39,15,519","20.95"
"RBLBANK","EQ","01-Aug-2023","227.85","229.40","230.75","223.80","224.90","224.60","226.36","1,02,86,288","2,32,84,28,656.80","51,503","20,51,268","19.94"
"RBLBANK","EQ","02-Aug-2023","224.60","222.90","224.65","217.55","220.60","220.40","221.21","1,11,10,671","2,45,77,39,784.25","64,860","20,54,387","18.49"
"RBLBANK","EQ","03-Aug-2023","220.40","218.35","226.20","216.00","218.30","221.20","222.60","1,46,73,667","3,26,63,30,626.75","82,890","33,62,404","22.91"
"RBLBANK","EQ","04-Aug-2023","221.20","219.00","222.80","209.05","215.90","216.10","214.98","3,01,16,065","6,47,42,95,487.35","1,28,900","45,50,671","15.11"
"RBLBANK","EQ","07-Aug-2023","216.10","216.85","218.95","212.70","216.85","216.00","215.48","1,07,50,690","2,31,65,50,572.65","44,742","23,72,772","22.07"
"RBLBANK","EQ","08-Aug-2023","216.00","216.90","222.95","216.40","220.25","220.40","220.23","1,11,71,970","2,46,03,48,953.05","54,829","24,82,285","22.22"
"RBLBANK","EQ","09-Aug-2023","220.40","219.95","222.45","217.10","221.25","220.95","219.93","77,58,670","1,70,63,90,375.45","34,765","17,97,961","23.17"
"RBLBANK","EQ","10-Aug-2023","220.95","221.30","224.90","219.70","224.90","224.25","222.85","1,27,20,589","2,83,47,46,852.60","53,897","30,43,157","23.92"
"RBLBANK","EQ","11-Aug-2023","224.25","225.45","226.40","222.00","222.35","222.40","224.55","81,36,735","1,82,71,10,901.00","37,451","17,25,992","21.21"
"RBLBANK","EQ","14-Aug-2023","222.40","223.70","224.50","218.00","224.00","223.65","221.92","76,96,743","1,70,80,34,258.10","36,600","11,91,096","15.48"
"RBLBANK","EQ","16-Aug-2023","223.65","224.00","224.00","216.60","218.55","218.05","218.50","74,84,983","1,63,54,83,905.10","37,012","17,10,354","22.85"
"RBLBANK","EQ","17-Aug-2023","218.05","218.65","224.00","218.00","219.00","219.05","221.00","78,81,451","1,74,18,24,158.85","39,860","22,82,706","28.96"
"RBLBANK","EQ","18-Aug-2023","219.05","218.00","220.75","213.85","215.00","215.80","216.77","78,79,832","1,70,80,93,829.80","41,645","14,77,457","18.75"
"RBLBANK","EQ","21-Aug-2023","215.80","216.70","219.85","215.20","218.40","218.60","217.88","57,62,365","1,25,55,17,464.70","35,002","12,44,827","21.60"
"RBLBANK","EQ","22-Aug-2023","218.60","218.95","221.95","218.55","221.65","221.40","220.35","64,99,606","1,43,22,03,950.20","25,963","24,50,867","37.71"
"RBLBANK","EQ","23-Aug-2023","221.40","222.60","231.00","221.15","230.25","230.20","226.79","1,32,61,896","3,00,75,99,718.95","63,192","36,50,474","27.53"
"RBLBANK","EQ","24-Aug-2023","230.20","231.70","237.45","227.75","228.30","229.20","233.21","2,23,78,614","5,21,89,10,874.50","99,555","42,57,206","19.02"
"RBLBANK","EQ","25-Aug-2023","229.20","226.95","231.50","222.25","228.60","230.35","227.41","97,76,542","2,22,32,97,507.65","45,480","14,75,790","15.10"
"RBLBANK","EQ","28-Aug-2023","230.35","231.35","234.90","229.10","232.05","232.00","232.44","74,66,010","1,73,53,65,450.40","40,287","23,53,507","31.52"
"RBLBANK","EQ","29-Aug-2023","232.00","232.95","234.50","231.00","233.30","233.50","233.31","42,05,841","98,12,75,729.75","21,475","16,02,781","38.11"
"RBLBANK","EQ","30-Aug-2023","233.50","234.10","243.15","234.10","239.70","241.15","239.64","1,93,93,861","4,64,75,82,334.90","82,791","64,54,304","33.28"
"RBLBANK","EQ","31-Aug-2023","241.15","241.10","242.45","235.85","238.05","238.75","238.73","1,45,55,669","3,47,48,12,777.15","64,359","43,57,076","29.93"
"RBLBANK","EQ","01-Sep-2023","238.75","237.60","241.50","235.00","237.90","238.05","238.62","1,03,34,648","2,46,61,03,254.90","35,798","35,68,130","34.53"
"RBLBANK","EQ","04-Sep-2023","238.05","239.60","240.40","232.15","234.80","234.55","235.45","72,38,133","1,70,42,07,958.90","36,225","17,32,683","23.94"
"RBLBANK","EQ","05-Sep-2023","234.55","235.50","239.30","233.75","236.15","235.90","236.40","59,26,063","1,40,08,91,776.10","35,691","15,03,457","25.37"
"RBLBANK","EQ","06-Sep-2023","235.90","236.35","239.35","232.20","233.50","233.50","235.35","65,12,216","1,53,26,70,991.65","42,831","19,08,114","29.30"
"RBLBANK","EQ","07-Sep-2023","233.50","233.50","236.15","231.85","235.90","235.65","234.46","39,39,200","92,35,90,417.75","21,435","9,32,074","23.66"
"RBLBANK","EQ","08-Sep-2023","235.65","236.45","237.40","228.90","232.20","232.60","232.96","1,13,40,286","2,64,18,40,766.75","45,546","41,59,208","36.68"
"RBLBANK","EQ","11-Sep-2023","232.60","234.30","235.85","230.40","232.40","232.70","232.96","97,31,747","2,26,71,46,660.90","35,512","45,62,381","46.88"
"RBLBANK","EQ","12-Sep-2023","232.70","233.90","234.00","216.70","218.40","217.80","223.52","1,13,85,827","2,54,50,06,993.80","76,211","30,98,789","27.22"
"RBLBANK","EQ","13-Sep-2023","217.80","218.25","228.20","218.25","227.80","227.75","224.68","98,39,103","2,21,06,30,829.85","55,003","19,01,246","19.32"
"RBLBANK","EQ","14-Sep-2023","227.75","227.75","230.60","225.25","228.25","228.60","228.33","58,15,513","1,32,78,62,561.35","37,652","9,42,453","16.21"
"RBLBANK","EQ","15-Sep-2023","228.60","229.90","235.55","226.15","235.50","233.15","230.50","74,69,285","1,72,16,34,396.75","38,895","21,73,437","29.10"
"RBLBANK","EQ","18-Sep-2023","233.15","234.55","236.30","229.70","230.00","230.25","232.30","80,75,421","1,87,59,36,448.20","38,431","25,64,751","31.76"
"RBLBANK","EQ","20-Sep-2023","230.25","229.50","235.00","228.00","231.50","231.40","231.91","84,20,332","1,95,27,23,936.80","33,417","30,85,832","36.65"
"RBLBANK","EQ","21-Sep-2023","231.40","231.00","234.90","225.55","226.00","226.35","231.28","1,04,68,462","2,42,11,86,553.50","58,672","36,60,392","34.97"
"RBLBANK","EQ","22-Sep-2023","226.35","227.05","236.25","226.60","232.55","233.00","233.39","1,62,95,315","3,80,32,10,111.55","69,790","37,36,084","22.93"
"RBLBANK","EQ","25-Sep-2023","233.00","233.95","243.75","229.50","238.50","237.75","239.11","2,42,39,569","5,79,59,16,374.45","98,179","56,25,922","23.21"
"RBLBANK","EQ","26-Sep-2023","237.75","238.50","242.55","236.50","237.60","237.70","239.55","69,36,904","1,66,17,52,847.10","37,693","13,33,680","19.23"
"RBLBANK","EQ","27-Sep-2023","237.70","238.00","246.50","237.25","245.00","245.40","243.01","1,29,67,539","3,15,12,47,366.70","61,973","34,15,329","26.34"
"RBLBANK","EQ","28-Sep-2023","245.40","247.60","248.85","240.50","242.50","241.35","245.37","1,32,64,018","3,25,45,68,311.00","64,030","30,84,521","23.25"
"RBLBANK","EQ","29-Sep-2023","241.35","243.45","256.00","243.05","252.20","252.75","250.67","1,76,79,018","4,43,16,34,478.10","83,914","45,42,872","25.70"
"RBLBANK","EQ","03-Oct-2023","252.75","251.85","256.40","248.25","255.00","255.60","252.71","84,38,372","2,13,24,81,205.35","43,688","15,63,041","18.52"
"RBLBANK","EQ","04-Oct-2023","255.60","254.60","254.60","246.05","249.15","249.30","249.73","79,71,142","1,99,06,13,635.10","39,297","13,69,338","17.18"
"RBLBANK","EQ","05-Oct-2023","249.30","253.70","256.70","241.20","241.95","242.30","247.35","1,23,71,832","3,06,01,55,189.70","65,661","25,58,648","20.68"
"RBLBANK","EQ","06-Oct-2023","242.30","243.55","249.00","242.25","247.10","247.50","246.47","1,05,76,574","2,60,67,59,237.95","54,033","18,18,880","17.20"
"RBLBANK","EQ","09-Oct-2023","247.50","243.95","250.70","238.25","243.50","243.85","245.03","95,46,705","2,33,92,22,136.75","46,217","16,29,803","17.07"
"RBLBANK","EQ","10-Oct-2023","243.85","245.90","249.90","245.10","248.70","248.55","247.93","49,15,461","1,21,86,90,788.20","30,438","10,02,883","20.40"
"RBLBANK","EQ","11-Oct-2023","248.55","249.70","250.90","244.05","245.85","245.90","246.63","58,40,769","1,44,05,10,078.95","30,348","14,77,676","25.30"
"RBLBANK","EQ","12-Oct-2023","245.90","245.90","249.20","245.65","246.30","246.70","247.27","46,84,923","1,15,84,56,062.90","27,280","9,64,847","20.59"
"RBLBANK","EQ","13-Oct-2023","246.70","246.60","249.00","245.00","245.60","246.35","247.32","38,94,789","96,32,66,165.90","31,588","7,49,221","19.24"
"RBLBANK","EQ","16-Oct-2023","246.35","245.60","247.45","242.05","243.50","243.70","244.60","42,46,256","1,03,86,51,678.55","27,114","4,64,080","10.93"
"RBLBANK","EQ","17-Oct-2023","243.70","245.05","247.55","244.00","245.20","245.70","245.73","27,21,400","66,87,25,633.95","21,357","6,52,985","23.99"
"RBLBANK","EQ","18-Oct-2023","245.70","245.30","246.80","240.55","241.20","241.55","243.35","33,83,237","82,33,10,906.25","22,582","8,67,650","25.65"
"RBLBANK","EQ","19-Oct-2023","241.55","241.55","251.00","238.25","245.80","245.65","246.91","1,01,68,187","2,51,06,51,317.80","49,409","15,28,598","15.03"
"RBLBANK","EQ","20-Oct-2023","245.65","244.40","247.50","240.40","243.65","244.40","243.74","49,90,017","1,21,62,73,911.25","27,622","8,58,672","17.21"
"RBLBANK","EQ","23-Oct-2023","244.40","247.00","255.00","228.55","230.40","230.50","241.05","2,60,92,500","6,28,97,23,416.30","1,28,148","64,38,859","24.68"
"RBLBANK","EQ","25-Oct-2023","230.50","233.70","237.55","224.00","225.50","225.45","230.85","1,29,10,828","2,98,04,68,604.25","67,085","42,82,447","33.17"
