"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-Jun-2024","27-Jun-2024","XX","-","1,683.25","1,697.00","1,672.95","1,681.20","1,674.60","1,680.55","17,11,500","2,88,31,10,400.00","2,88,31,10,400.00","3,92,500","-6,43,500"
"26-Jun-2024","27-Jun-2024","XX","-","1,709.60","1,719.50","1,675.30","1,680.30","1,684.50","1,680.30","20,66,000","3,50,64,86,225.00","3,50,64,86,225.00","10,36,000","-8,05,000"
"25-Jun-2024","27-Jun-2024","XX","-","1,749.00","1,766.40","1,717.15","1,723.00","1,721.05","1,723.00","28,13,000","4,88,84,02,150.00","4,88,84,02,150.00","18,41,000","-16,64,500"
"24-Jun-2024","27-Jun-2024","XX","-","1,744.10","1,772.00","1,731.50","1,746.50","1,751.10","1,746.50","32,26,500","5,65,14,22,575.00","5,65,14,22,575.00","35,05,500","-13,33,000"
"21-Jun-2024","27-Jun-2024","XX","-","1,796.20","1,799.95","1,744.15","1,748.85","1,747.95","1,748.85","21,48,500","3,79,14,28,875.00","3,79,14,28,875.00","48,38,500","-2,44,000"
"20-Jun-2024","27-Jun-2024","XX","-","1,703.05","1,798.00","1,697.25","1,788.60","1,795.00","1,788.60","62,39,500","10,96,33,06,575.00","10,96,33,06,575.00","50,82,500","11,500"
"19-Jun-2024","27-Jun-2024","XX","-","1,715.00","1,732.65","1,687.00","1,703.05","1,704.00","1,703.05","29,76,000","5,08,28,08,525.00","5,08,28,08,525.00","50,71,000","-2,71,500"
"18-Jun-2024","27-Jun-2024","XX","-","1,719.95","1,733.80","1,693.05","1,697.45","1,699.35","1,697.45","19,85,000","3,39,67,23,050.00","3,39,67,23,050.00","53,42,500","-71,000"
"14-Jun-2024","27-Jun-2024","XX","-","1,645.50","1,739.95","1,630.00","1,716.75","1,715.10","1,716.75","56,74,000","9,65,60,21,150.00","9,65,60,21,150.00","54,13,500","-81,000"
"13-Jun-2024","27-Jun-2024","XX","-","1,649.65","1,656.75","1,627.55","1,642.20","1,639.15","1,642.20","17,55,500","2,87,80,82,725.00","2,87,80,82,725.00","54,94,500","-88,000"
"12-Jun-2024","27-Jun-2024","XX","-","1,613.45","1,646.45","1,608.30","1,634.35","1,633.75","1,634.35","21,95,000","3,58,59,66,350.00","3,58,59,66,350.00","55,82,500","-1,83,500"
"11-Jun-2024","27-Jun-2024","XX","-","1,590.85","1,623.00","1,585.00","1,608.85","1,607.20","1,608.85","18,71,500","3,01,38,43,200.00","3,01,38,43,200.00","57,66,000","15,000"
