"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-Jun-2024","27-Jun-2024","XX","-","365.30","379.80","364.05","376.00","375.30","377.15","3,81,75,000","14,11,26,35,700.00","14,11,26,35,700.00","94,59,000","-87,85,500"
"26-Jun-2024","27-Jun-2024","XX","-","361.85","366.10","359.60","364.80","364.75","364.80","3,18,25,500","11,55,44,12,100.00","11,55,44,12,100.00","1,82,44,500","-2,23,60,500"
"25-Jun-2024","27-Jun-2024","XX","-","364.80","365.00","357.95","360.20","360.75","360.20","3,05,67,000","11,00,19,57,900.00","11,00,19,57,900.00","4,06,05,000","-2,25,87,000"
"24-Jun-2024","27-Jun-2024","XX","-","358.60","364.15","355.95","362.90","363.85","362.90","3,32,76,000","12,03,72,36,750.00","12,03,72,36,750.00","6,31,92,000","-2,11,72,500"
"21-Jun-2024","27-Jun-2024","XX","-","360.25","363.50","357.35","360.30","358.70","360.30","2,33,92,500","8,43,26,20,050.00","8,43,26,20,050.00","8,43,64,500","-32,59,500"
"20-Jun-2024","27-Jun-2024","XX","-","365.80","365.85","358.00","358.40","359.05","358.40","1,62,15,000","5,84,49,20,025.00","5,84,49,20,025.00","8,76,24,000","-20,34,000"
"19-Jun-2024","27-Jun-2024","XX","-","371.10","371.60","362.55","363.20","363.55","363.20","1,33,54,500","4,88,00,80,500.00","4,88,00,80,500.00","8,96,58,000","-8,08,500"
"18-Jun-2024","27-Jun-2024","XX","-","370.55","374.00","369.35","370.75","371.05","370.75","1,33,29,000","4,94,64,17,625.00","4,94,64,17,625.00","9,04,66,500","11,47,500"
"14-Jun-2024","27-Jun-2024","XX","-","371.10","371.10","367.10","368.45","368.40","368.45","99,58,500","3,67,07,78,775.00","3,67,07,78,775.00","8,93,19,000","-5,92,500"
"13-Jun-2024","27-Jun-2024","XX","-","374.35","375.85","368.30","370.25","370.00","370.25","1,40,95,500","5,22,32,94,450.00","5,22,32,94,450.00","8,99,11,500","-18,73,500"
"12-Jun-2024","27-Jun-2024","XX","-","371.10","374.35","366.35","371.95","372.40","371.95","1,49,95,500","5,57,24,81,625.00","5,57,24,81,625.00","9,17,85,000","-9,22,500"
"11-Jun-2024","27-Jun-2024","XX","-","367.95","372.15","365.20","368.60","369.00","368.60","1,37,05,500","5,05,09,95,300.00","5,05,09,95,300.00","9,27,07,500","2,20,500"
"10-Jun-2024","27-Jun-2024","XX","-","363.65","370.50","362.25","365.55","365.50","365.55","2,14,95,000","7,89,27,74,700.00","7,89,27,74,700.00","9,24,87,000","5,07,000"
"07-Jun-2024","27-Jun-2024","XX","-","353.00","362.35","348.95","361.20","362.25","361.20","3,13,42,500","11,18,23,60,575.00","11,18,23,60,575.00","9,19,80,000","-59,47,500"
"06-Jun-2024","27-Jun-2024","XX","-","349.10","361.00","345.60","350.95","351.90","350.95","4,56,75,000","16,12,56,73,800.00","16,12,56,73,800.00","9,79,27,500","-8,04,000"
"05-Jun-2024","27-Jun-2024","XX","-","335.60","343.15","316.05","341.55","341.25","341.55","5,43,15,000","18,04,70,87,400.00","18,04,70,87,400.00","9,87,31,500","11,55,000"
"04-Jun-2024","27-Jun-2024","XX","-","392.00","392.00","315.30","332.75","335.15","332.75","8,75,34,000","30,61,40,14,800.00","30,61,40,14,800.00","9,75,76,500","-1,09,02,000"
"03-Jun-2024","27-Jun-2024","XX","-","381.00","395.45","374.35","394.10","395.10","394.10","5,26,30,500","20,39,17,74,600.00","20,39,17,74,600.00","10,84,78,500","22,84,500"
"31-May-2024","27-Jun-2024","XX","-","365.40","368.90","358.30","362.05","362.30","362.05","3,08,59,500","11,18,46,27,450.00","11,18,46,27,450.00","10,61,94,000","43,90,500"
"30-May-2024","27-Jun-2024","XX","-","366.00","367.15","360.00","362.30","363.75","362.30","4,11,61,500","14,96,52,34,950.00","14,96,52,34,950.00","10,18,03,500","1,02,94,500"
"29-May-2024","27-Jun-2024","XX","-","365.00","370.00","363.50","367.55","367.00","367.55","3,26,52,000","12,00,30,60,150.00","12,00,30,60,150.00","9,15,09,000","2,21,31,000"
"28-May-2024","27-Jun-2024","XX","-","374.75","375.90","367.20","369.05","368.40","369.05","3,10,65,000","11,50,09,38,075.00","11,50,09,38,075.00","6,93,78,000","2,23,15,500"
"27-May-2024","27-Jun-2024","XX","-","381.10","382.50","371.30","373.30","373.50","373.30","3,65,62,500","13,70,49,94,425.00","13,70,49,94,425.00","4,70,62,500","2,45,74,500"
"24-May-2024","27-Jun-2024","XX","-","376.60","381.00","371.20","377.80","377.05","377.80","1,83,34,500","6,89,50,21,800.00","6,89,50,21,800.00","2,24,88,000","1,25,68,500"
"23-May-2024","27-Jun-2024","XX","-","377.75","378.05","372.70","375.05","375.10","375.05","51,51,000","1,92,93,47,925.00","1,92,93,47,925.00","99,19,500","17,38,500"
"22-May-2024","27-Jun-2024","XX","-","379.00","380.10","373.35","376.60","377.10","376.60","53,92,500","2,03,32,82,175.00","2,03,32,82,175.00","81,81,000","19,53,000"
"21-May-2024","27-Jun-2024","XX","-","367.95","377.40","367.95","375.60","375.30","375.60","45,99,000","1,72,43,97,825.00","1,72,43,97,825.00","62,28,000","15,16,500"
"18-May-2024","27-Jun-2024","XX","-","369.50","369.70","367.70","368.95","369.70","368.95","4,65,000","17,15,68,575.00","17,15,68,575.00","47,11,500","87,000"
"17-May-2024","27-Jun-2024","XX","-","365.20","369.60","363.60","368.35","368.20","368.35","19,02,000","69,83,92,050.00","69,83,92,050.00","46,24,500","3,60,000"
"16-May-2024","27-Jun-2024","XX","-","365.95","366.25","356.90","364.60","364.90","364.60","26,85,000","97,09,49,100.00","97,09,49,100.00","42,64,500","3,70,500"
"15-May-2024","27-Jun-2024","XX","-","360.05","366.85","360.00","364.85","364.90","364.85","14,82,000","53,96,73,750.00","53,96,73,750.00","38,94,000","2,40,000"
