"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Sep-2023","28-Sep-2023","XX","-","239.00","240.75","235.55","237.25","239.75","237.05","2,76,03,000","6,59,24,60,550.00","6,59,24,60,550.00","1,57,23,000","-60,87,000"
"27-Sep-2023","28-Sep-2023","XX","-","239.80","239.80","237.25","238.70","238.90","238.70","3,69,48,000","8,80,98,21,600.00","8,80,98,21,600.00","2,18,10,000","-2,09,16,000"
"26-Sep-2023","28-Sep-2023","XX","-","239.75","242.70","238.95","239.85","239.55","239.85","3,32,85,000","8,02,71,98,550.00","8,02,71,98,550.00","4,27,26,000","-1,26,30,000"
"25-Sep-2023","28-Sep-2023","XX","-","238.95","240.30","237.55","239.90","240.00","239.90","2,83,77,000","6,78,35,46,000.00","6,78,35,46,000.00","5,53,56,000","-1,44,72,000"
"22-Sep-2023","28-Sep-2023","XX","-","239.60","239.80","236.00","237.80","237.70","237.80","1,56,60,000","3,72,27,05,400.00","3,72,27,05,400.00","6,98,28,000","-36,57,000"
"21-Sep-2023","28-Sep-2023","XX","-","241.60","243.15","237.25","238.95","238.95","238.95","1,89,60,000","4,54,52,42,250.00","4,54,52,42,250.00","7,34,85,000","-40,71,000"
"20-Sep-2023","28-Sep-2023","XX","-","239.90","245.85","239.90","242.55","242.40","242.55","3,18,00,000","7,74,15,28,800.00","7,74,15,28,800.00","7,75,56,000","-19,05,000"
"18-Sep-2023","28-Sep-2023","XX","-","236.80","242.80","236.40","241.65","240.80","241.65","2,18,37,000","5,24,96,86,050.00","5,24,96,86,050.00","7,94,61,000","22,95,000"
"15-Sep-2023","28-Sep-2023","XX","-","238.30","240.50","236.25","237.15","237.00","237.15","1,49,22,000","3,54,29,43,300.00","3,54,29,43,300.00","7,71,66,000","14,31,000"
"14-Sep-2023","28-Sep-2023","XX","-","238.55","239.90","236.95","238.80","239.30","238.80","1,49,16,000","3,55,63,82,250.00","3,55,63,82,250.00","7,57,35,000","28,74,000"
"13-Sep-2023","28-Sep-2023","XX","-","236.55","239.30","233.90","238.10","238.00","238.10","1,76,76,000","4,18,84,63,950.00","4,18,84,63,950.00","7,28,61,000","1,53,000"
"12-Sep-2023","28-Sep-2023","XX","-","245.00","245.55","234.50","235.35","234.80","235.35","4,23,87,000","10,13,57,59,500.00","10,13,57,59,500.00","7,27,08,000","-7,65,000"
"11-Sep-2023","28-Sep-2023","XX","-","242.80","245.10","238.60","244.00","243.75","244.00","2,50,86,000","6,08,64,62,250.00","6,08,64,62,250.00","7,34,73,000","1,26,000"
"08-Sep-2023","28-Sep-2023","XX","-","236.30","244.60","235.85","241.10","241.45","241.10","4,91,40,000","11,86,00,62,300.00","11,86,00,62,300.00","7,33,47,000","41,61,000"
"07-Sep-2023","28-Sep-2023","XX","-","233.35","238.40","230.70","235.50","236.00","235.50","3,93,48,000","9,24,32,62,650.00","9,24,32,62,650.00","6,91,86,000","69,54,000"
"06-Sep-2023","28-Sep-2023","XX","-","236.15","236.55","229.70","232.90","232.30","232.90","2,06,64,000","4,79,91,85,350.00","4,79,91,85,350.00","6,22,32,000","-9,06,000"
"05-Sep-2023","28-Sep-2023","XX","-","237.55","237.60","232.40","235.35","235.25","235.35","1,78,17,000","4,18,37,52,450.00","4,18,37,52,450.00","6,31,38,000","-36,06,000"
"04-Sep-2023","28-Sep-2023","XX","-","234.20","237.45","231.60","236.90","237.20","236.90","3,11,82,000","7,33,19,77,650.00","7,33,19,77,650.00","6,67,44,000","3,12,000"
"01-Sep-2023","28-Sep-2023","XX","-","219.10","232.75","217.65","232.25","232.70","232.25","4,10,58,000","9,35,37,09,900.00","9,35,37,09,900.00","6,64,32,000","60,21,000"
"31-Aug-2023","28-Sep-2023","XX","-","222.05","222.30","220.05","221.15","220.20","221.15","2,28,57,000","5,06,47,91,850.00","5,06,47,91,850.00","6,04,11,000","78,57,000"
"30-Aug-2023","28-Sep-2023","XX","-","221.50","222.50","221.45","221.70","221.70","221.70","2,36,07,000","5,23,79,73,300.00","5,23,79,73,300.00","5,25,54,000","1,46,37,000"
"29-Aug-2023","28-Sep-2023","XX","-","219.95","222.45","219.95","222.00","222.00","222.00","2,37,33,000","5,26,47,70,650.00","5,26,47,70,650.00","3,79,17,000","1,61,61,000"
"28-Aug-2023","28-Sep-2023","XX","-","219.30","220.85","219.15","220.45","220.30","220.45","1,50,51,000","3,31,09,89,300.00","3,31,09,89,300.00","2,17,56,000","1,18,05,000"
"25-Aug-2023","28-Sep-2023","XX","-","221.90","222.20","219.15","219.55","219.35","219.55","74,22,000","1,63,46,82,300.00","1,63,46,82,300.00","99,51,000","26,88,000"
