"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Dec-2022","29-Dec-2022","XX","-","164.85","167.20","163.90","166.45","165.95","166.75","1,86,96,000","3,08,23,77,885.00","3,08,23,77,885.00","38,81,700","-61,44,600"
"28-Dec-2022","29-Dec-2022","XX","-","165.75","167.40","165.05","165.95","165.70","165.95","2,78,73,000","4,63,68,28,875.00","4,63,68,28,875.00","1,00,26,300","-1,86,90,300"
"27-Dec-2022","29-Dec-2022","XX","-","166.40","167.80","164.50","165.35","165.25","165.35","1,64,73,000","2,72,58,56,280.00","2,72,58,56,280.00","2,87,16,600","-68,62,800"
"26-Dec-2022","29-Dec-2022","XX","-","163.70","167.50","162.40","165.85","165.90","165.85","2,06,34,000","3,42,14,24,430.00","3,42,14,24,430.00","3,55,79,400","-1,11,09,300"
"23-Dec-2022","29-Dec-2022","XX","-","165.50","166.65","162.40","163.20","163.30","163.20","1,15,14,000","1,89,29,11,575.00","1,89,29,11,575.00","4,66,88,700","-31,23,600"
"22-Dec-2022","29-Dec-2022","XX","-","168.25","168.25","164.95","166.20","166.05","166.20","89,60,400","1,49,01,70,095.00","1,49,01,70,095.00","4,98,12,300","-1,59,600"
"21-Dec-2022","29-Dec-2022","XX","-","170.80","171.35","166.80","168.10","168.00","168.10","1,25,28,600","2,11,22,84,625.00","2,11,22,84,625.00","4,99,71,900","-9,69,000"
"20-Dec-2022","29-Dec-2022","XX","-","171.55","171.70","168.85","170.15","170.45","170.15","1,02,31,500","1,73,76,53,265.00","1,73,76,53,265.00","5,09,40,900","-8,60,700"
"19-Dec-2022","29-Dec-2022","XX","-","170.35","172.70","170.00","172.45","172.50","172.45","87,09,600","1,49,23,33,815.00","1,49,23,33,815.00","5,18,01,600","-9,12,000"
"16-Dec-2022","29-Dec-2022","XX","-","172.75","173.60","169.80","170.30","170.40","170.30","1,24,94,400","2,14,27,79,625.00","2,14,27,79,625.00","5,27,13,600","-11,68,500"
"15-Dec-2022","29-Dec-2022","XX","-","173.20","174.80","172.20","172.60","172.50","172.60","1,29,04,800","2,23,32,75,390.00","2,23,32,75,390.00","5,38,82,100","-20,40,600"
"14-Dec-2022","29-Dec-2022","XX","-","170.95","174.55","170.80","172.80","172.65","172.80","1,42,89,900","2,47,35,80,265.00","2,47,35,80,265.00","5,59,22,700","6,44,100"
"13-Dec-2022","29-Dec-2022","XX","-","169.50","171.30","169.45","170.55","170.55","170.55","61,16,100","1,04,29,42,395.00","1,04,29,42,395.00","5,52,78,600","11,22,900"
"12-Dec-2022","29-Dec-2022","XX","-","171.50","171.50","168.75","170.25","170.30","170.25","96,72,900","1,64,64,75,495.00","1,64,64,75,495.00","5,41,55,700","11,51,400"
"09-Dec-2022","29-Dec-2022","XX","-","172.85","173.05","168.95","170.20","169.90","170.20","1,13,25,900","1,93,40,38,215.00","1,93,40,38,215.00","5,30,04,300","-19,83,600"
"08-Dec-2022","29-Dec-2022","XX","-","173.05","173.70","171.30","171.80","172.40","171.80","71,70,600","1,23,47,11,200.00","1,23,47,11,200.00","5,49,87,900","1,93,800"
"07-Dec-2022","29-Dec-2022","XX","-","175.55","176.00","172.90","173.30","173.20","173.30","1,11,37,800","1,93,72,50,165.00","1,93,72,50,165.00","5,47,94,100","24,33,900"
"06-Dec-2022","29-Dec-2022","XX","-","178.00","178.00","174.80","176.25","176.05","176.25","1,31,95,500","2,32,19,45,160.00","2,32,19,45,160.00","5,23,60,200","-13,05,300"
