"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-Jun-2023","29-Jun-2023","XX","-","739.60","741.40","728.95","735.05","733.75","735.05","14,11,800","1,03,56,57,967.50","1,03,56,57,967.50","8,17,050","-7,89,750"
"26-Jun-2023","29-Jun-2023","XX","-","699.60","743.65","690.10","739.65","739.10","739.65","36,09,450","2,62,79,42,232.50","2,62,79,42,232.50","16,06,800","-10,82,250"
"23-Jun-2023","29-Jun-2023","XX","-","731.85","733.45","723.00","727.90","727.90","727.90","10,43,250","75,92,41,762.50","75,92,41,762.50","26,89,050","-3,71,800"
"22-Jun-2023","29-Jun-2023","XX","-","741.90","741.90","727.35","730.35","731.60","730.35","7,27,350","53,24,85,070.00","53,24,85,070.00","30,60,850","-1,38,450"
"21-Jun-2023","29-Jun-2023","XX","-","733.95","745.00","730.85","737.65","737.80","737.65","8,79,450","64,83,84,652.50","64,83,84,652.50","31,99,300","37,700"
"20-Jun-2023","29-Jun-2023","XX","-","724.05","738.40","724.05","733.65","733.90","733.65","3,69,200","27,06,41,117.50","27,06,41,117.50","31,61,600","16,900"
"19-Jun-2023","29-Jun-2023","XX","-","739.40","742.80","728.95","731.40","732.25","731.40","5,91,500","43,50,07,917.50","43,50,07,917.50","31,44,700","39,650"
"16-Jun-2023","29-Jun-2023","XX","-","727.05","738.75","721.55","736.75","736.35","736.75","11,37,500","83,13,12,267.50","83,13,12,267.50","31,05,050","-2,47,650"
"15-Jun-2023","29-Jun-2023","XX","-","726.95","730.80","714.60","723.90","724.95","723.90","13,43,550","97,45,76,362.50","97,45,76,362.50","33,52,700","-1,52,750"
"14-Jun-2023","29-Jun-2023","XX","-","735.30","743.70","713.75","718.00","717.75","718.00","35,67,200","2,57,53,59,247.50","2,57,53,59,247.50","35,05,450","-3,18,500"
"13-Jun-2023","29-Jun-2023","XX","-","732.80","749.60","732.80","738.30","738.95","738.30","11,66,100","86,55,50,465.00","86,55,50,465.00","38,23,950","2,07,350"
"12-Jun-2023","29-Jun-2023","XX","-","731.20","746.25","724.10","735.15","736.00","735.15","14,37,150","1,05,84,88,242.50","1,05,84,88,242.50","36,16,600","3,27,600"
"09-Jun-2023","29-Jun-2023","XX","-","736.05","742.90","730.00","731.45","732.75","731.45","7,39,050","54,31,80,495.00","54,31,80,495.00","32,89,000","1,34,550"
"08-Jun-2023","29-Jun-2023","XX","-","751.00","754.30","734.15","739.35","740.50","739.35","8,87,250","65,72,03,527.50","65,72,03,527.50","31,54,450","96,200"
