"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Dec-2022","29-Dec-2022","XX","-","851.40","855.65","838.60","852.00","855.65","851.90","6,19,450","52,43,41,382.50","52,43,41,382.50","1,50,800","-3,30,850"
"28-Dec-2022","29-Dec-2022","XX","-","858.15","860.50","846.00","848.60","848.45","848.60","10,96,550","93,42,55,660.00","93,42,55,660.00","4,81,650","-7,64,400"
"27-Dec-2022","29-Dec-2022","XX","-","851.35","859.85","845.30","858.15","856.65","858.15","7,14,350","60,97,30,940.00","60,97,30,940.00","12,46,050","-2,49,600"
"26-Dec-2022","29-Dec-2022","XX","-","870.10","870.10","844.55","847.70","846.50","847.70","7,31,250","62,26,63,892.50","62,26,63,892.50","14,95,650","-1,07,900"
"23-Dec-2022","29-Dec-2022","XX","-","870.05","897.00","861.95","864.85","865.10","864.85","7,79,350","68,35,79,552.50","68,35,79,552.50","16,03,550","-1,31,950"
"22-Dec-2022","29-Dec-2022","XX","-","903.15","903.15","872.65","879.35","879.05","879.35","7,33,850","64,93,95,857.50","64,93,95,857.50","17,35,500","-1,26,750"
"21-Dec-2022","29-Dec-2022","XX","-","872.00","908.65","865.60","900.15","899.00","900.15","15,87,950","1,41,85,57,822.50","1,41,85,57,822.50","18,62,250","85,800"
"20-Dec-2022","29-Dec-2022","XX","-","859.35","877.20","851.40","874.25","875.00","874.25","4,69,300","40,65,22,967.50","40,65,22,967.50","17,76,450","-29,900"
"19-Dec-2022","29-Dec-2022","XX","-","853.70","860.90","848.75","858.45","859.95","858.45","2,10,600","18,01,30,047.50","18,01,30,047.50","18,06,350","-24,700"
"16-Dec-2022","29-Dec-2022","XX","-","858.55","861.15","848.00","854.90","853.10","854.90","3,57,500","30,51,48,155.00","30,51,48,155.00","18,31,050","3,900"
"15-Dec-2022","29-Dec-2022","XX","-","865.55","876.20","857.95","861.25","858.65","861.25","3,00,300","25,98,09,192.50","25,98,09,192.50","18,27,150","7,800"
"14-Dec-2022","29-Dec-2022","XX","-","865.35","870.50","863.80","867.85","867.55","867.85","1,74,850","15,17,15,947.50","15,17,15,947.50","18,19,350","-23,400"
"13-Dec-2022","29-Dec-2022","XX","-","866.25","868.60","860.50","864.90","864.00","864.90","2,09,300","18,08,20,055.00","18,08,20,055.00","18,42,750","-10,400"
"12-Dec-2022","29-Dec-2022","XX","-","867.50","876.40","861.75","867.85","867.35","867.85","4,24,450","36,95,64,780.00","36,95,64,780.00","18,53,150","-"
"09-Dec-2022","29-Dec-2022","XX","-","861.70","871.60","860.75","864.90","866.60","864.90","3,99,100","34,56,66,067.50","34,56,66,067.50","18,53,150","4,550"
"08-Dec-2022","29-Dec-2022","XX","-","863.15","864.70","856.40","858.35","858.70","858.35","1,69,650","14,59,70,727.50","14,59,70,727.50","18,48,600","-11,700"
"07-Dec-2022","29-Dec-2022","XX","-","863.70","865.00","857.80","859.95","858.60","859.95","1,35,200","11,63,43,305.00","11,63,43,305.00","18,60,300","8,450"
"06-Dec-2022","29-Dec-2022","XX","-","866.70","868.60","857.20","861.40","861.35","861.40","3,52,950","30,39,80,007.50","30,39,80,007.50","18,51,850","71,500"
"05-Dec-2022","29-Dec-2022","XX","-","874.80","877.00","867.35","869.90","869.70","869.90","2,15,800","18,77,68,652.50","18,77,68,652.50","17,80,350","-"
"02-Dec-2022","29-Dec-2022","XX","-","867.50","882.45","863.75","875.10","874.10","875.10","4,00,400","35,03,45,157.50","35,03,45,157.50","17,80,350","61,750"
"01-Dec-2022","29-Dec-2022","XX","-","875.65","878.45","870.35","871.85","871.05","871.85","2,56,750","22,42,68,362.50","22,42,68,362.50","17,18,600","50,700"
"30-Nov-2022","29-Dec-2022","XX","-","877.70","882.40","872.80","875.35","873.35","875.35","2,52,850","22,14,10,410.00","22,14,10,410.00","16,67,900","67,600"
"29-Nov-2022","29-Dec-2022","XX","-","876.85","884.40","873.55","877.05","875.05","877.05","2,08,000","18,27,33,265.00","18,27,33,265.00","16,00,300","-1,950"
"28-Nov-2022","29-Dec-2022","XX","-","873.45","884.45","866.55","882.80","880.05","882.80","2,81,450","24,68,17,675.00","24,68,17,675.00","16,02,250","-24,050"
"25-Nov-2022","29-Dec-2022","XX","-","858.55","885.00","856.55","875.50","876.95","875.50","4,91,400","42,80,19,345.00","42,80,19,345.00","16,26,300","-14,950"
"24-Nov-2022","29-Dec-2022","XX","-","862.10","867.20","849.35","861.40","859.30","861.40","8,46,300","72,66,39,257.50","72,66,39,257.50","16,41,250","1,76,150"
"23-Nov-2022","29-Dec-2022","XX","-","872.35","876.90","863.00","864.65","865.80","864.65","10,18,550","88,32,89,875.00","88,32,89,875.00","14,65,100","7,52,050"
"22-Nov-2022","29-Dec-2022","XX","-","865.80","871.10","856.00","868.30","868.60","868.30","7,13,700","61,63,17,487.50","61,63,17,487.50","7,13,050","2,95,750"
"21-Nov-2022","29-Dec-2022","XX","-","852.85","876.85","852.85","866.30","866.70","866.30","5,13,500","44,61,91,200.00","44,61,91,200.00","4,17,300","2,06,700"
"18-Nov-2022","29-Dec-2022","XX","-","867.85","867.90","849.55","860.70","860.70","860.70","1,68,350","14,44,58,470.00","14,44,58,470.00","2,10,600","61,750"
"17-Nov-2022","29-Dec-2022","XX","-","868.40","878.15","863.85","864.75","863.85","864.75","1,24,150","10,81,66,662.50","10,81,66,662.50","1,48,850","44,200"
"16-Nov-2022","29-Dec-2022","XX","-","872.85","878.85","864.55","875.35","872.60","875.35","49,400","4,30,64,222.50","4,30,64,222.50","1,04,650","650"
"15-Nov-2022","29-Dec-2022","XX","-","870.00","879.00","866.55","871.35","872.00","871.35","40,950","3,56,43,985.00","3,56,43,985.00","1,04,000","-1,300"
"14-Nov-2022","29-Dec-2022","XX","-","861.00","875.45","856.80","870.40","868.10","870.40","60,450","5,23,67,217.50","5,23,67,217.50","1,05,300","20,150"
"11-Nov-2022","29-Dec-2022","XX","-","896.00","902.00","840.00","864.95","864.00","864.95","1,22,850","10,60,89,360.00","10,60,89,360.00","85,150","20,150"
"10-Nov-2022","29-Dec-2022","XX","-","895.60","895.75","880.00","890.65","890.70","890.65","39,000","3,46,38,207.50","3,46,38,207.50","65,000","12,350"
"09-Nov-2022","29-Dec-2022","XX","-","900.05","900.05","886.90","888.80","887.75","888.80","39,000","3,47,63,267.50","3,47,63,267.50","52,650","18,850"
"07-Nov-2022","29-Dec-2022","XX","-","897.25","904.00","892.00","904.10","904.00","904.10","14,300","1,28,38,767.50","1,28,38,767.50","33,800","3,250"
"07-Nov-2022","29-Dec-2022","XX","-","897.25","904.00","892.00","904.10","904.00","904.10","14,300","1,28,38,767.50","1,28,38,767.50","33,800","3,250"
"04-Nov-2022","29-Dec-2022","XX","-","907.05","907.05","904.00","904.00","904.00","904.00","4,550","41,22,917.50","41,22,917.50","30,550","3,900"
"03-Nov-2022","29-Dec-2022","XX","-","915.00","915.15","901.05","909.00","907.55","909.00","22,100","2,01,09,537.50","2,01,09,537.50","26,650","8,450"
"02-Nov-2022","29-Dec-2022","XX","-","930.45","948.00","928.05","928.35","928.10","928.35","10,400","97,46,717.50","97,46,717.50","18,200","1,300"
"01-Nov-2022","29-Dec-2022","XX","-","908.00","932.55","906.90","926.00","926.00","934.30","11,050","1,01,77,440.00","1,01,77,440.00","16,900","-1,950"
"31-Oct-2022","29-Dec-2022","XX","-","904.15","904.15","889.45","900.20","900.20","914.70","7,150","63,94,992.50","63,94,992.50","18,850","6,500"
"31-Oct-2022","29-Dec-2022","XX","-","904.15","904.15","889.45","900.20","900.20","914.70","7,150","63,94,992.50","63,94,992.50","18,850","6,500"
"28-Oct-2022","29-Dec-2022","XX","-","910.00","910.00","888.00","889.10","888.00","889.10","5,850","52,66,917.50","52,66,917.50","12,350","3,250"
"27-Oct-2022","29-Dec-2022","XX","-","925.90","926.00","916.70","921.95","921.95","921.95","9,100","83,88,770.00","83,88,770.00","9,100","4,550"
"27-Oct-2022","29-Dec-2022","XX","-","925.90","926.00","916.70","921.95","921.95","921.95","9,100","83,88,770.00","83,88,770.00","9,100","4,550"
"25-Oct-2022","29-Dec-2022","XX","-","894.65","925.05","893.00","924.00","924.00","924.00","5,850","53,18,105.00","53,18,105.00","4,550","3,250"
"25-Oct-2022","29-Dec-2022","XX","-","894.65","925.05","893.00","924.00","924.00","924.00","5,850","53,18,105.00","53,18,105.00","4,550","3,250"
"21-Oct-2022","29-Dec-2022","XX","-","903.00","903.00","903.00","903.00","903.00","915.05","2,600","23,49,360.00","23,49,360.00","1,300","-1,300"
"21-Oct-2022","29-Dec-2022","XX","-","903.00","903.00","903.00","903.00","903.00","915.05","2,600","23,49,360.00","23,49,360.00","1,300","-1,300"
"20-Oct-2022","29-Dec-2022","XX","-","903.00","903.00","903.00","900.90","903.00","900.90","1,300","11,71,137.50","11,71,137.50","2,600","650"
"20-Oct-2022","29-Dec-2022","XX","-","903.00","903.00","903.00","900.90","903.00","900.90","1,300","11,71,137.50","11,71,137.50","2,600","650"
"19-Oct-2022","29-Dec-2022","XX","-","-","-","-","890.00","890.00","907.15","-","-","-","1,950","-"
"18-Oct-2022","29-Dec-2022","XX","-","-","-","-","890.00","890.00","909.40","-","-","-","1,950","-"
"17-Oct-2022","29-Dec-2022","XX","-","-","-","-","890.00","890.00","904.65","-","-","-","1,950","-"
"14-Oct-2022","29-Dec-2022","XX","-","-","-","-","890.00","890.00","901.45","-","-","-","1,950","-"
"13-Oct-2022","29-Dec-2022","XX","-","-","-","-","890.00","890.00","900.70","-","-","-","1,950","-"
"12-Oct-2022","29-Dec-2022","XX","-","890.00","890.00","890.00","890.00","890.00","904.00","1,300","11,54,627.50","11,54,627.50","1,950","650"
"11-Oct-2022","29-Dec-2022","XX","-","897.85","897.85","897.85","897.85","897.85","910.00","650","5,83,602.50","5,83,602.50","1,300","650"
"10-Oct-2022","29-Dec-2022","XX","-","-","-","-","905.00","905.00","924.80","-","-","-","650","-"
"07-Oct-2022","29-Dec-2022","XX","-","-","-","-","905.00","905.00","932.20","-","-","-","650","-"
"06-Oct-2022","29-Dec-2022","XX","-","-","-","-","905.00","905.00","933.35","-","-","-","650","-"
"04-Oct-2022","29-Dec-2022","XX","-","-","-","-","905.00","905.00","945.95","-","-","-","650","-"
"03-Oct-2022","29-Dec-2022","XX","-","-","-","-","905.00","905.00","948.65","-","-","-","650","-"
"30-Sep-2022","29-Dec-2022","XX","-","905.00","905.00","905.00","905.00","905.00","929.35","650","5,88,250.00","5,88,250.00","650","650"
