Date,Time,Tenor,Rate(%)
21-Jun-22,4:30:00 PM,12 Months,6.17
20-Jun-22,6:00:00 PM,12 Months,6.16
17-Jun-22,4:30:00 PM,12 Months,6.24
16-Jun-22,4:30:00 PM,12 Months,6.24
15-Jun-22,4:30:00 PM,12 Months,6.25
14-Jun-22,4:30:00 PM,12 Months,6.08
13-Jun-22,4:30:00 PM,12 Months,6.08
10-Jun-22,4:30:00 PM,12 Months,6.05
9-Jun-22,4:30:00 PM,12 Months,6.07
8-Jun-22,5:00:00 PM,12 Months,6.07
7-Jun-22,4:30:00 PM,12 Months,6.11
6-Jun-22,4:30:00 PM,12 Months,6.09
3-Jun-22,4:30:00 PM,12 Months,6.08
2-Jun-22,4:30:00 PM,12 Months,6.07
1-Jun-22,4:30:00 PM,12 Months,6
