"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Dec-2022","29-Dec-2022","XX","-","1,507.40","1,519.70","1,500.75","1,513.25","1,519.70","1,511.80","32,58,500","4,92,56,34,575.00","4,92,56,34,575.00","8,27,500","-20,15,000"
"28-Dec-2022","29-Dec-2022","XX","-","1,531.00","1,532.75","1,511.25","1,520.65","1,519.00","1,520.65","30,51,000","4,64,83,48,225.00","4,64,83,48,225.00","28,42,500","-17,06,000"
"27-Dec-2022","29-Dec-2022","XX","-","1,547.95","1,550.55","1,516.35","1,537.60","1,539.00","1,537.60","28,53,500","4,37,39,89,425.00","4,37,39,89,425.00","45,48,500","-13,81,500"
"26-Dec-2022","29-Dec-2022","XX","-","1,494.95","1,547.95","1,487.65","1,537.85","1,542.30","1,537.85","30,98,500","4,72,64,23,650.00","4,72,64,23,650.00","59,30,000","-11,44,000"
"23-Dec-2022","29-Dec-2022","XX","-","1,530.40","1,548.30","1,495.20","1,498.35","1,495.95","1,498.35","22,35,000","3,38,88,74,625.00","3,38,88,74,625.00","70,74,000","-3,76,500"
"22-Dec-2022","29-Dec-2022","XX","-","1,596.35","1,596.35","1,535.55","1,549.65","1,549.10","1,549.65","26,90,000","4,18,72,94,200.00","4,18,72,94,200.00","74,50,500","-2,98,000"
"21-Dec-2022","29-Dec-2022","XX","-","1,624.90","1,633.15","1,578.45","1,584.70","1,584.90","1,584.70","26,61,000","4,25,65,13,225.00","4,25,65,13,225.00","77,48,500","-12,000"
"20-Dec-2022","29-Dec-2022","XX","-","1,622.50","1,622.50","1,598.00","1,620.00","1,620.95","1,620.00","15,67,500","2,52,52,50,075.00","2,52,52,50,075.00","77,60,500","-58,500"
"19-Dec-2022","29-Dec-2022","XX","-","1,596.80","1,635.50","1,595.00","1,628.95","1,629.00","1,628.95","24,64,000","3,99,81,90,650.00","3,99,81,90,650.00","78,19,000","-2,01,500"
"16-Dec-2022","29-Dec-2022","XX","-","1,607.10","1,618.00","1,585.20","1,595.35","1,595.05","1,595.35","21,92,500","3,51,05,35,800.00","3,51,05,35,800.00","80,20,500","-59,500"
"15-Dec-2022","29-Dec-2022","XX","-","1,625.85","1,641.00","1,604.60","1,609.55","1,605.20","1,609.55","15,67,000","2,54,24,72,525.00","2,54,24,72,525.00","80,80,000","-31,000"
"14-Dec-2022","29-Dec-2022","XX","-","1,626.90","1,637.90","1,622.35","1,630.55","1,627.75","1,630.55","13,93,000","2,27,18,70,700.00","2,27,18,70,700.00","81,11,000","-2,08,000"
"13-Dec-2022","29-Dec-2022","XX","-","1,611.00","1,628.50","1,603.60","1,624.00","1,624.05","1,624.00","16,52,500","2,67,58,95,300.00","2,67,58,95,300.00","83,19,000","-46,500"
"12-Dec-2022","29-Dec-2022","XX","-","1,601.45","1,616.30","1,578.90","1,605.65","1,605.30","1,605.65","20,25,000","3,24,45,04,350.00","3,24,45,04,350.00","83,65,500","20,000"
"09-Dec-2022","29-Dec-2022","XX","-","1,633.35","1,637.00","1,590.20","1,606.05","1,604.50","1,606.05","24,36,000","3,91,82,03,175.00","3,91,82,03,175.00","83,45,500","-1,48,000"
"08-Dec-2022","29-Dec-2022","XX","-","1,618.30","1,631.45","1,611.40","1,629.15","1,631.45","1,629.15","17,85,500","2,89,93,14,550.00","2,89,93,14,550.00","84,93,500","-2,22,000"
"07-Dec-2022","29-Dec-2022","XX","-","1,651.00","1,654.00","1,602.30","1,616.85","1,617.00","1,616.85","36,42,500","5,89,50,03,925.00","5,89,50,03,925.00","87,15,500","-3,41,500"
"06-Dec-2022","29-Dec-2022","XX","-","1,644.40","1,660.00","1,642.00","1,649.75","1,648.45","1,649.75","18,67,000","3,07,98,20,500.00","3,07,98,20,500.00","90,57,000","1,75,500"
"05-Dec-2022","29-Dec-2022","XX","-","1,663.00","1,667.95","1,643.35","1,648.50","1,647.10","1,648.50","18,95,000","3,12,97,62,225.00","3,12,97,62,225.00","88,81,500","69,500"
"02-Dec-2022","29-Dec-2022","XX","-","1,651.25","1,667.00","1,639.40","1,655.55","1,654.00","1,655.55","29,79,000","4,93,01,22,000.00","4,93,01,22,000.00","88,12,000","4,73,500"
"01-Dec-2022","29-Dec-2022","XX","-","1,648.05","1,656.50","1,637.25","1,653.25","1,652.55","1,653.25","31,52,500","5,19,82,66,600.00","5,19,82,66,600.00","83,38,500","5,25,500"
"30-Nov-2022","29-Dec-2022","XX","-","1,649.30","1,655.35","1,636.00","1,640.50","1,645.50","1,640.50","24,12,000","3,96,35,08,500.00","3,96,35,08,500.00","78,13,000","3,73,000"
"29-Nov-2022","29-Dec-2022","XX","-","1,666.15","1,668.20","1,643.25","1,645.15","1,645.00","1,645.15","18,69,500","3,08,89,85,225.00","3,08,89,85,225.00","74,40,000","4,23,000"
"28-Nov-2022","29-Dec-2022","XX","-","1,648.65","1,676.55","1,645.65","1,668.45","1,665.20","1,668.45","34,45,000","5,74,37,39,900.00","5,74,37,39,900.00","70,17,000","5,59,500"
"25-Nov-2022","29-Dec-2022","XX","-","1,641.55","1,662.35","1,639.05","1,649.80","1,649.70","1,649.80","17,03,000","2,81,15,90,775.00","2,81,15,90,775.00","64,57,500","2,70,000"
"24-Nov-2022","29-Dec-2022","XX","-","1,656.25","1,659.20","1,632.65","1,648.75","1,650.55","1,648.75","35,17,500","5,79,19,69,500.00","5,79,19,69,500.00","61,87,500","10,62,500"
"23-Nov-2022","29-Dec-2022","XX","-","1,659.50","1,669.25","1,645.35","1,649.70","1,648.35","1,649.70","31,09,500","5,15,89,34,675.00","5,15,89,34,675.00","51,25,000","14,51,000"
"22-Nov-2022","29-Dec-2022","XX","-","1,653.15","1,665.65","1,647.45","1,658.95","1,660.25","1,658.95","27,32,500","4,52,69,54,250.00","4,52,69,54,250.00","36,74,000","13,11,500"
"21-Nov-2022","29-Dec-2022","XX","-","1,661.60","1,662.65","1,634.10","1,651.20","1,649.05","1,651.20","22,64,500","3,73,45,18,625.00","3,73,45,18,625.00","23,62,500","11,66,000"
"18-Nov-2022","29-Dec-2022","XX","-","1,680.00","1,681.00","1,654.25","1,670.05","1,673.00","1,670.05","8,81,500","1,46,92,45,225.00","1,46,92,45,225.00","11,96,500","3,98,500"
"17-Nov-2022","29-Dec-2022","XX","-","1,693.45","1,708.80","1,675.50","1,679.00","1,675.75","1,679.00","6,13,000","1,03,44,18,225.00","1,03,44,18,225.00","7,98,000","2,17,500"
"16-Nov-2022","29-Dec-2022","XX","-","1,724.20","1,725.00","1,688.00","1,699.10","1,698.30","1,699.10","4,39,500","74,71,18,625.00","74,71,18,625.00","5,80,500","1,15,500"
"15-Nov-2022","29-Dec-2022","XX","-","1,732.20","1,737.65","1,713.00","1,724.55","1,728.00","1,724.55","2,31,500","39,85,32,950.00","39,85,32,950.00","4,65,000","59,000"
"14-Nov-2022","29-Dec-2022","XX","-","1,739.70","1,747.40","1,722.20","1,732.20","1,734.30","1,732.20","2,00,500","34,76,40,325.00","34,76,40,325.00","4,06,000","6,000"
"11-Nov-2022","29-Dec-2022","XX","-","1,758.55","1,762.15","1,725.20","1,736.40","1,736.30","1,736.40","1,89,500","33,04,10,525.00","33,04,10,525.00","4,00,000","46,500"
"10-Nov-2022","29-Dec-2022","XX","-","1,758.40","1,766.50","1,711.25","1,719.30","1,722.60","1,719.30","2,15,000","37,11,98,925.00","37,11,98,925.00","3,53,500","67,000"
"09-Nov-2022","29-Dec-2022","XX","-","1,801.05","1,806.65","1,760.00","1,764.40","1,766.60","1,764.40","1,51,000","26,87,95,525.00","26,87,95,525.00","2,86,500","39,500"
"07-Nov-2022","29-Dec-2022","XX","-","1,820.00","1,820.00","1,779.40","1,792.10","1,794.00","1,792.10","3,02,500","54,39,87,650.00","54,39,87,650.00","2,47,000","41,500"
"07-Nov-2022","29-Dec-2022","XX","-","1,820.00","1,820.00","1,779.40","1,792.10","1,794.00","1,792.10","3,02,500","54,39,87,650.00","54,39,87,650.00","2,47,000","41,500"
"04-Nov-2022","29-Dec-2022","XX","-","1,737.85","1,813.10","1,737.85","1,810.40","1,811.75","1,810.40","2,72,500","48,86,87,325.00","48,86,87,325.00","2,05,500","39,500"
"03-Nov-2022","29-Dec-2022","XX","-","1,703.50","1,742.50","1,703.50","1,735.85","1,734.50","1,735.85","83,000","14,38,12,525.00","14,38,12,525.00","1,66,000","5,500"
"02-Nov-2022","29-Dec-2022","XX","-","1,712.65","1,730.05","1,704.00","1,720.20","1,718.55","1,720.20","80,500","13,84,88,125.00","13,84,88,125.00","1,60,500","-1,500"
"01-Nov-2022","29-Dec-2022","XX","-","1,699.25","1,724.00","1,699.25","1,719.00","1,717.30","1,719.00","77,500","13,27,82,125.00","13,27,82,125.00","1,62,000","-2,000"
"31-Oct-2022","29-Dec-2022","XX","-","1,672.00","1,696.70","1,670.00","1,694.75","1,694.00","1,694.75","1,17,000","19,73,46,300.00","19,73,46,300.00","1,64,000","-12,500"
"31-Oct-2022","29-Dec-2022","XX","-","1,672.00","1,696.70","1,670.00","1,694.75","1,694.00","1,694.75","1,17,000","19,73,46,300.00","19,73,46,300.00","1,64,000","-12,500"
"28-Oct-2022","29-Dec-2022","XX","-","1,649.90","1,667.95","1,643.75","1,660.15","1,659.00","1,660.15","91,500","15,14,19,725.00","15,14,19,725.00","1,76,500","30,000"
"27-Oct-2022","29-Dec-2022","XX","-","1,669.00","1,669.00","1,628.80","1,641.55","1,643.00","1,641.55","89,500","14,70,92,400.00","14,70,92,400.00","1,46,500","47,500"
"27-Oct-2022","29-Dec-2022","XX","-","1,669.00","1,669.00","1,628.80","1,641.55","1,643.00","1,641.55","89,500","14,70,92,400.00","14,70,92,400.00","1,46,500","47,500"
"25-Oct-2022","29-Dec-2022","XX","-","1,673.05","1,675.00","1,654.15","1,656.70","1,655.00","1,656.70","40,500","6,73,69,025.00","6,73,69,025.00","99,000","28,000"
"25-Oct-2022","29-Dec-2022","XX","-","1,673.05","1,675.00","1,654.15","1,656.70","1,655.00","1,656.70","40,500","6,73,69,025.00","6,73,69,025.00","99,000","28,000"
"21-Oct-2022","29-Dec-2022","XX","-","1,724.85","1,731.40","1,665.00","1,673.85","1,670.00","1,673.85","37,500","6,35,26,975.00","6,35,26,975.00","68,000","12,000"
"21-Oct-2022","29-Dec-2022","XX","-","1,724.85","1,731.40","1,665.00","1,673.85","1,670.00","1,673.85","37,500","6,35,26,975.00","6,35,26,975.00","68,000","12,000"
"20-Oct-2022","29-Dec-2022","XX","-","1,684.35","1,723.60","1,675.95","1,722.80","1,723.15","1,722.80","31,500","5,36,18,475.00","5,36,18,475.00","56,000","12,500"
"20-Oct-2022","29-Dec-2022","XX","-","1,684.35","1,723.60","1,675.95","1,722.80","1,723.15","1,722.80","31,500","5,36,18,475.00","5,36,18,475.00","56,000","12,500"
"19-Oct-2022","29-Dec-2022","XX","-","1,725.50","1,730.20","1,704.40","1,704.85","1,704.50","1,704.85","14,000","2,40,16,775.00","2,40,16,775.00","43,500","7,000"
"18-Oct-2022","29-Dec-2022","XX","-","1,729.95","1,733.90","1,721.00","1,730.30","1,730.95","1,730.30","18,000","3,10,99,325.00","3,10,99,325.00","36,500","6,000"
"17-Oct-2022","29-Dec-2022","XX","-","1,675.00","1,719.00","1,675.00","1,719.00","1,719.00","1,719.00","5,500","93,30,675.00","93,30,675.00","30,500","2,000"
"14-Oct-2022","29-Dec-2022","XX","-","1,696.60","1,702.00","1,683.05","1,683.05","1,683.05","1,711.10","5,500","93,14,950.00","93,14,950.00","28,500","-"
"13-Oct-2022","29-Dec-2022","XX","-","1,669.95","1,682.40","1,661.20","1,682.40","1,682.40","1,704.70","14,500","2,42,26,825.00","2,42,26,825.00","28,500","3,500"
