Date,Daily_Return,Weekly_Return,Monthly_Return
2022-08-30,0.5666037106988138,-1.081698102951573,11.448467966573816
2022-09-01,-0.6186478126380934,-1.081698102951573,-9.502624343914016
2022-09-02,-1.083815028901734,-1.081698102951573,-9.502624343914016
2022-09-05,-0.3933247176490419,-2.2035388504231186,-9.502624343914016
2022-09-06,-0.38923675748858183,-2.2035388504231186,-9.502624343914016
2022-09-07,-0.39075773020726373,-2.2035388504231186,-9.502624343914016
2022-09-08,-1.0574791062596016,-2.2035388504231186,-9.502624343914016
2022-09-09,0.23559156467276543,-2.2035388504231186,-9.502624343914016
2022-09-12,0.3210272873194169,-1.9834803618587378,-9.502624343914016
2022-09-13,2.640000000000003,-1.9834803618587378,-9.502624343914016
2022-09-14,-2.1935196525999383,-1.9834803618587378,-9.502624343914016
2022-09-15,-0.3586065573770466,-1.9834803618587378,-9.502624343914016
2022-09-16,-1.6166809483004831,-1.9834803618587378,-9.502624343914016
2022-09-19,-0.3077459063987896,-1.2726438890162832,-9.502624343914016
2022-09-20,1.5143572718271303,-1.2726438890162832,-9.502624343914016
2022-09-21,-0.5508061277181787,-1.2726438890162832,-9.502624343914016
2022-09-22,1.344256620319619,-1.2726438890162832,-9.502624343914016
2022-09-23,-0.49527496299668783,-1.2726438890162832,-9.502624343914016
2022-09-26,2.0481720922249527,1.4922773197073536,-9.502624343914016
2022-09-27,1.468856870549983,1.4922773197073536,-9.502624343914016
2022-09-28,-1.0332062544892007,1.4922773197073536,-9.502624343914016
2022-09-29,1.5408664582402807,1.4922773197073536,-9.502624343914016
2022-09-30,0.6157906311853996,1.4922773197073536,1.0826336721166543
2022-10-03,0.0,4.697065049487952,1.0826336721166543
2022-10-03,2.1311475409836063,4.697065049487952,1.0826336721166543
2022-10-04,-0.25147137506688316,4.697065049487952,1.0826336721166543
2022-10-06,-1.3356219492570864,4.697065049487952,1.0826336721166543
2022-10-07,-0.08154833097749266,4.697065049487952,1.0826336721166543
2022-10-10,-0.7508569563088406,0.4316939890710432,1.0826336721166543
2022-10-11,-1.5898251192368842,0.4316939890710432,1.0826336721166543
2022-10-12,-0.6462035541195427,0.4316939890710432,1.0826336721166543
2022-10-13,-0.35884496776002756,0.4316939890710432,1.0826336721166543
2022-10-14,0.10128861628496888,0.4316939890710432,1.0826336721166543
2022-10-17,0.40474450503118875,-3.210185537842102,1.0826336721166543
2022-10-18,0.5374839034768567,-3.210185537842102,1.0826336721166543
2022-10-19,-0.2171854986913232,-3.210185537842102,1.0826336721166543
2022-10-20,1.278044424600965,-3.210185537842102,1.0826336721166543
2022-10-21,-0.3857386895905659,-3.210185537842102,1.0826336721166543
2022-10-24,-0.387232394755767,1.6189780201247936,1.0826336721166543
2022-10-25,3.9706780696395847,1.6189780201247936,1.0826336721166543
2022-10-27,-0.5715201367375304,1.6189780201247936,1.0826336721166543
2022-10-28,-3.1748589846897617,1.6189780201247936,1.0826336721166543
2022-10-31,0.4327563249001306,-0.29319024174364966,-1.0819672131147515
2022-11-01,2.1599823223953103,-0.29319024174364966,-1.0819672131147515
2022-11-02,0.27037257340615367,-0.29319024174364966,-1.0819672131147515
2022-11-03,0.0,-0.29319024174364966,-1.0819672131147515
2022-11-03,-2.02232648438764,-0.29319024174364966,-1.0819672131147515
2022-11-04,-0.3797886393659106,-0.29319024174364966,-1.0819672131147515
2022-11-07,0.0055251671363008474,0.4161118508655126,-1.0819672131147515
2022-11-09,-1.4751381215469639,0.4161118508655126,-1.0819672131147515
2022-11-10,-0.37010037570795207,0.4161118508655126,-1.0819672131147515
2022-11-11,-2.3414194855631303,0.4161118508655126,-1.0819672131147515
2022-11-14,0.0,-4.132825017956803,-1.0819672131147515
2022-11-14,0.19019076710277114,-4.132825017956803,-1.0819672131147515
2022-11-15,0.04601932811780687,-4.132825017956803,-1.0819672131147515
2022-11-16,0.45998160073597055,-4.132825017956803,-1.0819672131147515
2022-11-17,-0.6639194139194217,-4.132825017956803,-1.0819672131147515
2022-11-18,-0.3399400783590611,-4.132825017956803,-1.0819672131147515
2022-11-21,0.4220385037867812,-0.31122125525905503,-1.0819672131147515
2022-11-22,-0.44329303396661174,-0.31122125525905503,-1.0819672131147515
2022-11-23,-0.8153588157057717,-0.31122125525905503,-1.0819672131147515
2022-11-24,-0.5130597014925347,-0.31122125525905503,-1.0819672131147515
2022-11-25,1.8577121425222585,-0.31122125525905503,-1.0819672131147515
2022-11-28,1.0010931476900116,0.4856333468231406,-1.0819672131147515
2022-11-29,-0.6607804044431733,0.4856333468231406,-1.0819672131147515
2022-11-30,-0.4530076265840983,0.4856333468231406,-4.098994586233568
2022-12-01,-0.3859447004608321,0.4856333468231406,-4.098994586233568
2022-12-02,0.4510495576244697,0.4856333468231406,-4.098994586233568
2022-12-05,-0.5468884923147775,-0.05753408894770152,-4.098994586233568
2022-12-06,-0.7351238712664864,-0.05753408894770152,-4.098994586233568
2022-12-07,-0.268237214997967,-0.05753408894770152,-4.098994586233568
2022-12-08,-0.47360112261006315,-0.05753408894770152,-4.098994586233568
2022-12-09,0.9282105510515776,-0.05753408894770152,-4.098994586233568
2022-12-12,0.3026775320139724,-1.0995337056012844,-4.098994586233568
2022-12-13,-0.27274837511606576,-1.0995337056012844,-4.098994586233568
2022-12-14,0.6051789351178406,-1.0995337056012844,-4.098994586233568
2022-12-15,-0.4627219619411186,-1.0995337056012844,-4.098994586233568
2022-12-16,-0.7089313731187196,-1.0995337056012844,-4.098994586233568
2022-12-19,-0.029262012055948965,-0.5413271245634432,-4.098994586233568
2022-12-20,2.195293291183702,-0.5413271245634432,-4.098994586233568
2022-12-21,2.572034141032243,-0.5413271245634432,-4.098994586233568
2022-12-22,-1.8932201496704941,-0.5413271245634432,-4.098994586233568
2022-12-23,-1.5938976490009675,-0.5413271245634432,-4.098994586233568
2022-12-26,-1.8684560652513422,1.1704804822379586,-4.098994586233568
2022-12-27,0.8901202546569151,1.1704804822379586,-4.098994586233568
2022-12-28,-0.6719252118025124,1.1704804822379586,-4.098994586233568
2022-12-29,0.2235294117647032,1.1704804822379586,-4.098994586233568
2022-12-30,-1.0329850921469603,1.1704804822379586,-4.098994586233568
2023-01-02,-0.7591033092159859,-2.458494822699138,-2.8686635944700436
2023-01-03,1.5836022469224331,-2.458494822699138,-2.8686635944700436
2023-01-04,0.6823930819459915,-2.458494822699138,-2.8686635944700436
2023-01-05,0.3038270522933126,-2.458494822699138,-2.8686635944700436
2023-01-06,-0.4601852391215758,-2.458494822699138,-2.8686635944700436
2023-01-09,2.4227528089887693,1.3402917803344745,-2.8686635944700436
2023-01-10,-0.3942406582104954,1.3402917803344745,-2.8686635944700436
2023-01-11,-1.841335398382373,1.3402917803344745,-2.8686635944700436
2023-01-12,1.5194015895278168,1.3402917803344745,-2.8686635944700436
2023-01-13,0.2417683628828025,1.3402917803344745,-2.8686635944700436
2023-01-16,-0.528310554726085,1.9077715355805325,-2.8686635944700436
2023-01-17,-1.633760535734901,1.9077715355805325,-2.8686635944700436
2023-01-18,2.764246728094366,1.9077715355805325,-2.8686635944700436
2023-01-19,-0.4226156482010332,1.9077715355805325,-2.8686635944700436
2023-01-20,-1.1126405138793225,1.9077715355805325,-2.8686635944700436
2023-01-23,1.1135599118431763,-0.9877110370965916,-2.8686635944700436
2023-01-24,-0.8202363198348159,-0.9877110370965916,-2.8686635944700436
2023-01-25,-0.2486842866230961,-0.9877110370965916,-2.8686635944700436
2023-01-27,-1.263914656771797,-0.9877110370965916,-2.8686635944700436
2023-01-30,0.8103347034644718,-1.2295557359935068,-2.8686635944700436
2023-01-31,-0.9960391425908615,-1.2295557359935068,0.8006167714387379
2023-02-01,0.42360416544096285,-1.2295557359935068,0.8006167714387379
2023-02-02,0.42181732966194957,-1.2295557359935068,0.8006167714387379
2023-02-03,-0.1458491336561461,-1.2295557359935068,0.8006167714387379
2023-02-06,0.3856041131105478,0.5049911920140875,0.8006167714387379
2023-02-07,0.18042137120241583,0.5049911920140875,0.8006167714387379
2023-02-08,0.66229012955325,0.5049911920140875,0.8006167714387379
2023-02-09,1.1946672822762188,0.5049911920140875,0.8006167714387379
2023-02-10,-0.2395346184555746,0.5049911920140875,0.8006167714387379
2023-02-13,-2.0638005945575197,2.1967749474176292,0.8006167714387379
2023-02-14,-0.8639308855291551,2.1967749474176292,0.8006167714387379
2023-02-15,-0.6594830124241916,2.1967749474176292,0.8006167714387379
2023-02-16,2.2464584197735813,2.1967749474176292,0.8006167714387379
2023-02-17,-3.6637681159420317,2.1967749474176292,0.8006167714387379
2023-02-20,0.13840414008905733,-4.996569860507666,0.8006167714387379
2023-02-21,-2.217414818820976,-4.996569860507666,0.8006167714387379
2023-02-22,0.7927728613569237,-4.996569860507666,0.8006167714387379
2023-02-23,-0.018291567587339463,-4.996569860507666,0.8006167714387379
2023-02-24,-1.76241005000609,-4.996569860507666,0.8006167714387379
2023-02-27,0.732509777143209,-3.062943795883973,0.8006167714387379
2023-02-28,-0.41905466198311175,-3.062943795883973,-4.930281814437839
2023-03-01,-0.03094250881861501,-3.062943795883973,-4.930281814437839
2023-03-02,-0.32190169617432496,-3.062943795883973,-4.930281814437839
