Date,Close Price
30-Jun-2022,83.45
01-Jul-2022,86.2
04-Jul-2022,87.55
05-Jul-2022,81.5
06-Jul-2022,83.4
07-Jul-2022,85.5
08-Jul-2022,83.7
11-Jul-2022,86.85
12-Jul-2022,84.15
13-Jul-2022,84.2
14-Jul-2022,82.2
15-Jul-2022,81.9
18-Jul-2022,85.9
19-Jul-2022,91.4
20-Jul-2022,91.45
21-Jul-2022,94.95
22-Jul-2022,92.2
25-Jul-2022,94.7
26-Jul-2022,92.15
27-Jul-2022,91.65
28-Jul-2022,92.25
29-Jul-2022,92.25
01-Aug-2022,96.15
02-Aug-2022,98.85
03-Aug-2022,96.45
04-Aug-2022,96.2
05-Aug-2022,96.4
08-Aug-2022,98.25
10-Aug-2022,96.95
11-Aug-2022,97.65
12-Aug-2022,98.1
16-Aug-2022,97.9
17-Aug-2022,100.9
18-Aug-2022,103.1
19-Aug-2022,99.95
22-Aug-2022,98.25
23-Aug-2022,104.1
24-Aug-2022,121.75
25-Aug-2022,128.0
26-Aug-2022,124.45
29-Aug-2022,122.65
30-Aug-2022,122.3
01-Sep-2022,122.15
02-Sep-2022,121.9
05-Sep-2022,124.05
06-Sep-2022,122.65
07-Sep-2022,122.95
08-Sep-2022,124.5
09-Sep-2022,128.6
12-Sep-2022,127.95
13-Sep-2022,128.95
14-Sep-2022,133.25
15-Sep-2022,130.65
16-Sep-2022,124.35
19-Sep-2022,124.5
20-Sep-2022,127.65
21-Sep-2022,127.35
22-Sep-2022,127.6
23-Sep-2022,123.0
26-Sep-2022,112.55
27-Sep-2022,112.3
28-Sep-2022,111.45
29-Sep-2022,109.85
30-Sep-2022,113.75
03-Oct-2022,113.75
03-Oct-2022,111.05
04-Oct-2022,117.75
06-Oct-2022,121.15
07-Oct-2022,122.6
10-Oct-2022,120.65
11-Oct-2022,120.1
12-Oct-2022,123.75
13-Oct-2022,122.9
14-Oct-2022,124.1
17-Oct-2022,124.1
17-Oct-2022,127.05
18-Oct-2022,129.35
19-Oct-2022,128.75
20-Oct-2022,128.8
21-Oct-2022,133.25
24-Oct-2022,127.3
25-Oct-2022,123.8
27-Oct-2022,136.35
28-Oct-2022,137.5
31-Oct-2022,135.15
01-Nov-2022,134.9
02-Nov-2022,133.8
03-Nov-2022,134.9
04-Nov-2022,134.8
07-Nov-2022,136.25
09-Nov-2022,139.25
10-Nov-2022,138.0
11-Nov-2022,142.55
14-Nov-2022,144.7
15-Nov-2022,145.15
16-Nov-2022,142.8
17-Nov-2022,145.2
18-Nov-2022,144.05
21-Nov-2022,142.8
22-Nov-2022,141.75
23-Nov-2022,140.95
24-Nov-2022,141.95
25-Nov-2022,150.05
28-Nov-2022,150.5
29-Nov-2022,152.85
30-Nov-2022,153.4
01-Dec-2022,153.3
02-Dec-2022,152.5
05-Dec-2022,154.85
06-Dec-2022,153.65
07-Dec-2022,153.4
08-Dec-2022,153.0
09-Dec-2022,151.75
12-Dec-2022,155.05
13-Dec-2022,157.75
14-Dec-2022,167.55
15-Dec-2022,169.9
16-Dec-2022,164.8
19-Dec-2022,167.95
20-Dec-2022,169.5
21-Dec-2022,162.75
22-Dec-2022,162.1
23-Dec-2022,151.3
26-Dec-2022,160.5
27-Dec-2022,166.4
28-Dec-2022,173.05
29-Dec-2022,176.5
30-Dec-2022,179.4
02-Jan-2023,181.35
03-Jan-2023,186.65
04-Jan-2023,179.95
05-Jan-2023,186.25
06-Jan-2023,184.1
09-Jan-2023,185.8
10-Jan-2023,180.5
11-Jan-2023,181.0
12-Jan-2023,177.8
13-Jan-2023,176.85
16-Jan-2023,175.55
17-Jan-2023,171.9
18-Jan-2023,172.45
19-Jan-2023,167.3
20-Jan-2023,169.8
23-Jan-2023,167.4
24-Jan-2023,160.75
25-Jan-2023,157.95
27-Jan-2023,150.65
30-Jan-2023,149.8
31-Jan-2023,155.75
01-Feb-2023,148.4
02-Feb-2023,155.45
03-Feb-2023,157.4
06-Feb-2023,163.5
07-Feb-2023,163.5
08-Feb-2023,166.8
09-Feb-2023,168.05
10-Feb-2023,169.25
13-Feb-2023,166.3
14-Feb-2023,165.6
15-Feb-2023,163.7
16-Feb-2023,161.9
17-Feb-2023,158.65
20-Feb-2023,158.75
21-Feb-2023,158.85
22-Feb-2023,153.45
23-Feb-2023,153.8
24-Feb-2023,153.15
27-Feb-2023,152.35
28-Feb-2023,155.85
01-Mar-2023,161.05
02-Mar-2023,160.95
03-Mar-2023,166.7
06-Mar-2023,165.9
08-Mar-2023,165.35
09-Mar-2023,159.65
10-Mar-2023,154.9
13-Mar-2023,146.85
14-Mar-2023,146.0
15-Mar-2023,141.85
16-Mar-2023,141.45
17-Mar-2023,141.1
20-Mar-2023,137.1
21-Mar-2023,141.55
22-Mar-2023,143.55
23-Mar-2023,140.3
24-Mar-2023,135.1
27-Mar-2023,136.45
28-Mar-2023,135.35
29-Mar-2023,135.8
31-Mar-2023,141.1
03-Apr-2023,144.6
05-Apr-2023,140.7
06-Apr-2023,143.65
10-Apr-2023,143.9
11-Apr-2023,144.55
12-Apr-2023,145.35
13-Apr-2023,147.1
17-Apr-2023,154.35
18-Apr-2023,154.55
19-Apr-2023,149.45
20-Apr-2023,149.6
21-Apr-2023,147.65
24-Apr-2023,151.5
25-Apr-2023,153.05
26-Apr-2023,153.35
27-Apr-2023,159.35
28-Apr-2023,161.8
02-May-2023,154.6
03-May-2023,154.85
04-May-2023,155.35
05-May-2023,148.95
08-May-2023,152.5
09-May-2023,151.45
10-May-2023,150.4
11-May-2023,150.6
12-May-2023,147.3
15-May-2023,152.45
16-May-2023,149.45
17-May-2023,144.65
18-May-2023,142.05
19-May-2023,144.0
22-May-2023,143.2
23-May-2023,147.45
24-May-2023,145.45
25-May-2023,147.05
26-May-2023,148.35
29-May-2023,153.75
30-May-2023,163.0
31-May-2023,162.1
01-Jun-2023,168.5
02-Jun-2023,169.15
05-Jun-2023,173.2
06-Jun-2023,175.5
07-Jun-2023,175.75
08-Jun-2023,173.45
09-Jun-2023,174.75
12-Jun-2023,177.95
13-Jun-2023,178.65
14-Jun-2023,173.35
15-Jun-2023,166.65
16-Jun-2023,173.35
19-Jun-2023,171.95
20-Jun-2023,172.65
21-Jun-2023,172.15
22-Jun-2023,166.95
23-Jun-2023,166.5
26-Jun-2023,165.95
27-Jun-2023,174.2
28-Jun-2023,176.0
30-Jun-2023,181.95
03-Jul-2023,184.2
04-Jul-2023,182.5
05-Jul-2023,190.65
06-Jul-2023,187.0
07-Jul-2023,184.7
10-Jul-2023,185.3
11-Jul-2023,193.9
12-Jul-2023,197.2
13-Jul-2023,197.85
14-Jul-2023,211.6
17-Jul-2023,226.65
18-Jul-2023,219.05
19-Jul-2023,213.1
20-Jul-2023,219.65
21-Jul-2023,221.6
24-Jul-2023,222.0
25-Jul-2023,223.3
26-Jul-2023,239.2
27-Jul-2023,232.6
28-Jul-2023,234.1
31-Jul-2023,227.85
01-Aug-2023,224.6
02-Aug-2023,220.4
03-Aug-2023,221.2
04-Aug-2023,216.1
07-Aug-2023,216.0
08-Aug-2023,220.4
09-Aug-2023,220.95
10-Aug-2023,224.25
11-Aug-2023,222.4
14-Aug-2023,223.65
16-Aug-2023,218.05
17-Aug-2023,219.05
18-Aug-2023,215.8
21-Aug-2023,218.6
22-Aug-2023,221.4
23-Aug-2023,230.2
24-Aug-2023,229.2
25-Aug-2023,230.35
28-Aug-2023,232.0
29-Aug-2023,233.5
30-Aug-2023,241.15
31-Aug-2023,238.75
01-Sep-2023,238.05
04-Sep-2023,234.55
05-Sep-2023,235.9
06-Sep-2023,233.5
07-Sep-2023,235.65
08-Sep-2023,232.6
11-Sep-2023,232.7
12-Sep-2023,217.8
13-Sep-2023,227.75
14-Sep-2023,228.6
15-Sep-2023,233.15
18-Sep-2023,230.25
20-Sep-2023,231.4
21-Sep-2023,226.35
22-Sep-2023,233.0
25-Sep-2023,237.75
26-Sep-2023,237.7
27-Sep-2023,245.4
28-Sep-2023,241.35
29-Sep-2023,252.75
03-Oct-2023,255.6
04-Oct-2023,249.3
05-Oct-2023,242.3
06-Oct-2023,247.5
09-Oct-2023,243.85
10-Oct-2023,248.55
11-Oct-2023,245.9
12-Oct-2023,246.7
13-Oct-2023,246.35
16-Oct-2023,243.7
17-Oct-2023,245.7
18-Oct-2023,241.55
19-Oct-2023,245.65
20-Oct-2023,244.4
23-Oct-2023,230.5
25-Oct-2023,225.45
26-Oct-2023,216.35
27-Oct-2023,226.2
30-Oct-2023,222.95
31-Oct-2023,220.45
01-Nov-2023,218.2
02-Nov-2023,221.95
03-Nov-2023,228.75
06-Nov-2023,230.45
07-Nov-2023,232.65
08-Nov-2023,240.15
09-Nov-2023,239.6
10-Nov-2023,239.85
12-Nov-2023,239.95
13-Nov-2023,245.8
15-Nov-2023,252.6
16-Nov-2023,254.55
17-Nov-2023,234.8
20-Nov-2023,229.1
21-Nov-2023,236.15
22-Nov-2023,234.1
23-Nov-2023,238.85
24-Nov-2023,234.5
28-Nov-2023,237.75
29-Nov-2023,237.7
30-Nov-2023,234.6
01-Dec-2023,233.1
04-Dec-2023,242.45
05-Dec-2023,246.6
06-Dec-2023,253.0
07-Dec-2023,256.15
08-Dec-2023,267.7
11-Dec-2023,276.7
12-Dec-2023,273.8
13-Dec-2023,278.5
14-Dec-2023,282.1
15-Dec-2023,292.45
18-Dec-2023,287.35
19-Dec-2023,286.25
20-Dec-2023,267.9
21-Dec-2023,275.5
22-Dec-2023,272.45
26-Dec-2023,260.55
27-Dec-2023,262.75
28-Dec-2023,268.9
29-Dec-2023,279.3
01-Jan-2024,284.6
02-Jan-2024,280.9
03-Jan-2024,284.9
04-Jan-2024,286.2
05-Jan-2024,287.5
08-Jan-2024,284.5
09-Jan-2024,281.1
10-Jan-2024,283.55
11-Jan-2024,295.0
12-Jan-2024,292.1
15-Jan-2024,292.7
16-Jan-2024,293.7
17-Jan-2024,282.8
18-Jan-2024,269.85
19-Jan-2024,265.25
20-Jan-2024,268.7
23-Jan-2024,253.35
24-Jan-2024,259.8
25-Jan-2024,255.15
29-Jan-2024,255.05
30-Jan-2024,255.5
31-Jan-2024,260.55
01-Feb-2024,266.55
02-Feb-2024,264.8
05-Feb-2024,265.4
06-Feb-2024,265.05
07-Feb-2024,261.4
08-Feb-2024,255.45
09-Feb-2024,259.9
12-Feb-2024,243.75
13-Feb-2024,250.75
14-Feb-2024,253.75
15-Feb-2024,259.05
16-Feb-2024,262.35
19-Feb-2024,261.2
20-Feb-2024,263.2
21-Feb-2024,258.45
22-Feb-2024,266.55
23-Feb-2024,268.6
26-Feb-2024,272.85
27-Feb-2024,265.45
28-Feb-2024,255.8
29-Feb-2024,260.15
01-Mar-2024,266.8
02-Mar-2024,270.8
04-Mar-2024,273.5
05-Mar-2024,255.85
06-Mar-2024,252.95
07-Mar-2024,255.9
11-Mar-2024,248.55
12-Mar-2024,249.55
13-Mar-2024,230.45
14-Mar-2024,225.5
15-Mar-2024,224.15
18-Mar-2024,224.45
19-Mar-2024,228.05
20-Mar-2024,233.3
21-Mar-2024,242.5
22-Mar-2024,242.4
26-Mar-2024,240.1
27-Mar-2024,238.05
28-Mar-2024,240.3
01-Apr-2024,247.7
02-Apr-2024,250.55
03-Apr-2024,252.6
04-Apr-2024,254.65
05-Apr-2024,254.55
08-Apr-2024,255.5
09-Apr-2024,258.8
10-Apr-2024,259.7
12-Apr-2024,258.35
15-Apr-2024,251.0
16-Apr-2024,243.85
18-Apr-2024,245.95
19-Apr-2024,254.15
22-Apr-2024,258.25
23-Apr-2024,262.9
24-Apr-2024,262.25
25-Apr-2024,262.95
26-Apr-2024,265.4
29-Apr-2024,262.9
30-Apr-2024,260.3
02-May-2024,267.05
03-May-2024,264.55
06-May-2024,254.15
07-May-2024,246.0
08-May-2024,247.5
09-May-2024,239.9
10-May-2024,243.85
13-May-2024,244.95
14-May-2024,249.05
15-May-2024,249.7
16-May-2024,251.65
17-May-2024,251.75
18-May-2024,252.2
21-May-2024,250.05
22-May-2024,251.35
23-May-2024,254.35
24-May-2024,254.6
27-May-2024,253.35
28-May-2024,251.5
29-May-2024,248.45
30-May-2024,242.5
31-May-2024,245.7
03-Jun-2024,261.25
04-Jun-2024,224.2
05-Jun-2024,244.2
06-Jun-2024,243.7
07-Jun-2024,251.25
10-Jun-2024,253.0
11-Jun-2024,253.65
12-Jun-2024,258.98
13-Jun-2024,259.83
14-Jun-2024,257.63
18-Jun-2024,259.81
19-Jun-2024,266.11
20-Jun-2024,267.09
21-Jun-2024,263.62
24-Jun-2024,256.62
25-Jun-2024,253.72
26-Jun-2024,257.65
27-Jun-2024,262.96
28-Jun-2024,262.98
