Date,Daily_Return,Weekly_Return,Monthly_Return
2022-08-10,-0.6405673179344337,9.321758003255564,2.333661198718158
2022-08-11,-3.020824154844771,9.321758003255564,2.333661198718158
2022-08-12,-2.0564229144267636,9.321758003255564,2.333661198718158
2022-08-16,3.011796719182427,-8.280155421310878,2.333661198718158
2022-08-17,1.9586654059165203,-8.280155421310878,2.333661198718158
2022-08-18,-0.21050462226933084,-8.280155421310878,2.333661198718158
2022-08-19,1.3719039962235762,-8.280155421310878,2.333661198718158
2022-08-22,2.936596865495717,6.246231388858827,2.333661198718158
2022-08-23,0.050892743542988304,6.246231388858827,2.333661198718158
2022-08-24,-0.5990985262741517,6.246231388858827,2.333661198718158
2022-08-25,3.0888854141494577,6.246231388858827,2.333661198718158
2022-08-26,1.5871046027412423,6.246231388858827,2.333661198718158
2022-08-29,-1.3451332238404894,7.209068816484532,2.333661198718158
2022-08-30,3.035139374260482,7.209068816484532,2.333661198718158
2022-09-01,0.5488195705586937,7.209068816484532,16.096426633594298
2022-09-02,0.15670858842747157,7.209068816484532,16.096426633594298
2022-09-05,1.0143601575241656,2.3672172980603428,16.096426633594298
2022-09-06,-2.681735843112549,2.3672172980603428,16.096426633594298
2022-09-07,1.6226277667624351,2.3672172980603428,16.096426633594298
2022-09-08,-0.07034588941095514,2.3672172980603428,16.096426633594298
2022-09-09,-1.5088525548220784,2.3672172980603428,16.096426633594298
2022-09-12,-2.1657923482529413,-1.6760146916477667,16.096426633594298
2022-09-13,-0.0013784167505128304,-1.6760146916477667,16.096426633594298
2022-09-14,-2.0497339619000456,-1.6760146916477667,16.096426633594298
2022-09-15,-1.282033239983668,-1.6760146916477667,16.096426633594298
2022-09-16,-1.103381422136063,-1.6760146916477667,16.096426633594298
2022-09-19,-0.05765848877100931,-6.444783083624406,16.096426633594298
2022-09-20,-0.22067095508695986,-6.444783083624406,16.096426633594298
2022-09-21,-1.274916523322888,-6.444783083624406,16.096426633594298
2022-09-22,5.855136971258738,-6.444783083624406,16.096426633594298
2022-09-23,-2.7040858668289576,-6.444783083624406,16.096426633594298
2022-09-26,-0.25873221216041137,1.3967768904777085,16.096426633594298
2022-09-27,-0.686991348469958,1.3967768904777085,16.096426633594298
2022-09-28,-0.4721652147705857,1.3967768904777085,16.096426633594298
2022-09-29,-1.4188896899783654,1.3967768904777085,16.096426633594298
2022-09-30,2.0814439926279036,1.3967768904777085,-6.808834526225837
2022-10-03,0.0,-0.7875694809718173,-6.808834526225837
2022-10-03,-0.4227027181934116,-0.7875694809718173,-6.808834526225837
2022-10-04,0.6245143465623011,-0.7875694809718173,-6.808834526225837
2022-10-06,-1.1740647523166736,-0.7875694809718173,-6.808834526225837
2022-10-07,-0.19969033527718152,-0.7875694809718173,-6.808834526225837
2022-10-10,-0.8366077513085564,-1.1749702675206695,-6.808834526225837
2022-10-11,-0.39770733419113086,-1.1749702675206695,-6.808834526225837
2022-10-12,0.0014679976512090985,-1.1749702675206695,-6.808834526225837
2022-10-13,-0.2789154592563233,-1.1749702675206695,-6.808834526225837
2022-10-14,-0.32974636027734827,-1.1749702675206695,-6.808834526225837
2022-10-17,-0.4800094524938337,-1.8298075947164643,-6.808834526225837
2022-10-18,-0.9260633403579537,-1.8298075947164643,-6.808834526225837
2022-10-19,-1.0425716768027857,-1.8298075947164643,-6.808834526225837
2022-10-20,-1.9648209257969815,-1.8298075947164643,-6.808834526225837
2022-10-21,-0.36439997529490853,-1.8298075947164643,-6.808834526225837
2022-10-24,0.5687453508554398,-4.695230921470448,-6.808834526225837
2022-10-25,-1.7505200708837407,-4.695230921470448,-6.808834526225837
2022-10-27,1.5088065998525813,-4.695230921470448,-6.808834526225837
2022-10-28,-1.161910353671926,-4.695230921470448,-6.808834526225837
2022-10-31,-1.0708311838546796,-0.866290602529143,-9.320953158807264
2022-11-01,1.0571392453068793,-0.866290602529143,-9.320953158807264
2022-11-02,-0.3455662752333802,-0.866290602529143,-9.320953158807264
